Consumption prognosis in MWh,,,,,,,,,
Data was last updated 01-01-2020,,,,,,,,,
,Hours,NO,SE,FI,DK1,DK2,EE,LV,LT
1/1/2019,00 - 01,15780,14500,10002,1857,1359,873,707,1147
1/1/2019,01 - 02,15800,14163,9670,1819,1321,859,678,1168
1/1/2019,02 - 03,15854,13951,9495,1755,1296,850,644,1216
1/1/2019,03 - 04,15934,13713,9506,1709,1242,857,623,1051
1/1/2019,04 - 05,15942,13602,9565,1685,1211,873,617,1045
1/1/2019,05 - 06,16078,13766,9757,1706,1208,929,608,1071
1/1/2019,06 - 07,16394,14105,9775,1726,1233,1012,630,1104
1/1/2019,07 - 08,16761,14439,9974,1777,1245,1079,637,1128
1/1/2019,08 - 09,17234,14740,9989,1901,1285,1119,630,1160
1/1/2019,09 - 10,17828,15006,10001,1979,1365,1145,660,1233
1/1/2019,10 - 11,18291,15478,10191,2062,1486,1152,703,1289
1/1/2019,11 - 12,18436,15807,10247,2132,1569,1141,729,1313
1/1/2019,12 - 13,18420,15959,10257,2143,1620,1137,745,1314
1/1/2019,13 - 14,18483,16098,10353,2133,1633,1145,761,1321
1/1/2019,14 - 15,18546,16384,10657,2201,1643,1177,771,1341
1/1/2019,15 - 16,18710,17012,10850,2197,1655,1233,823,1421
1/1/2019,16 - 17,18953,17605,10858,2341,1740,1229,841,1480
1/1/2019,17 - 18,18915,17760,10948,2576,1889,1198,831,1473
1/1/2019,18 - 19,18730,17588,10928,2469,1839,1148,818,1457
1/1/2019,19 - 20,18561,17286,10765,2367,1737,1096,806,1422
1/1/2019,20 - 21,18374,16888,10441,2267,1622,1045,787,1349
1/1/2019,21 - 22,18095,16401,10673,2179,1527,988,729,1268
1/1/2019,22 - 23,17618,15929,10486,2036,1431,928,665,1176
1/1/2019,23 - 00,17024,15374,10317,1931,1360,908,706,1332
2/1/2019,00 - 01,16297,15850,9897,1788,1284,887,607,1071
2/1/2019,01 - 02,15956,15678,9722,1716,1228,855,588,1034
2/1/2019,02 - 03,15813,15669,9666,1714,1206,843,583,1016
2/1/2019,03 - 04,15833,15726,9715,1713,1238,841,585,1031
2/1/2019,04 - 05,15948,16092,9992,1806,1278,848,619,1105
2/1/2019,05 - 06,16378,16834,10753,1907,1361,857,706,1320
2/1/2019,06 - 07,17648,18176,11176,2272,1554,880,818,1498
2/1/2019,07 - 08,18544,19771,11506,2641,1769,910,916,1634
2/1/2019,08 - 09,18787,20455,11546,2710,1896,923,961,1686
2/1/2019,09 - 10,18887,20607,11471,2798,1939,956,998,1721
2/1/2019,10 - 11,19029,20918,11550,2827,1969,983,995,1743
2/1/2019,11 - 12,18979,20919,11645,2803,1944,998,977,1743
2/1/2019,12 - 13,19066,20828,11646,2722,1946,1004,997,1750
2/1/2019,13 - 14,19024,20756,11764,2639,1955,1015,998,1737
2/1/2019,14 - 15,19247,20913,11996,2633,1939,1049,1009,1725
2/1/2019,15 - 16,19541,21416,12197,2584,1930,1093,1073,1770
2/1/2019,16 - 17,19717,21823,12236,2763,2055,1097,1072,1807
2/1/2019,17 - 18,19531,21964,12194,3004,2163,1090,1046,1767
2/1/2019,18 - 19,19232,21632,12217,2911,2094,1068,1015,1717
2/1/2019,19 - 20,19064,21150,12120,2712,1968,1041,980,1657
2/1/2019,20 - 21,18895,20480,11661,2486,1844,1008,924,1557
2/1/2019,21 - 22,18531,19757,11799,2333,1726,967,847,1379
2/1/2019,22 - 23,18163,18908,11587,2178,1594,916,772,1248
2/1/2019,23 - 00,17570,18066,10902,2051,1479,875,685,1195
3/1/2019,00 - 01,17762,17130,10782,1958,1355,856,661,1099
3/1/2019,01 - 02,17269,16869,10633,1908,1280,841,644,1068
3/1/2019,02 - 03,17095,16783,10595,1903,1281,833,634,1061
3/1/2019,03 - 04,17054,16803,10682,1925,1299,842,642,1077
3/1/2019,04 - 05,17103,17154,10990,2013,1332,879,684,1153
3/1/2019,05 - 06,17487,17920,11818,2139,1413,975,791,1363
3/1/2019,06 - 07,18719,19329,12297,2452,1620,1107,915,1592
3/1/2019,07 - 08,20100,21001,12643,2864,1886,1232,1022,1720
3/1/2019,08 - 09,20715,21679,12678,3036,1997,1266,1054,1740
3/1/2019,09 - 10,20862,21818,12608,2999,2014,1290,1065,1751
3/1/2019,10 - 11,20699,22184,12654,3005,1999,1298,1060,1751
3/1/2019,11 - 12,20479,22144,12783,2979,1981,1295,1048,1725
3/1/2019,12 - 13,20279,21984,12772,2912,1974,1305,1075,1745
3/1/2019,13 - 14,20178,21833,12870,2890,1961,1305,1073,1731
3/1/2019,14 - 15,20284,21958,13056,2867,1935,1324,1076,1733
3/1/2019,15 - 16,20513,22478,13207,2805,1914,1357,1117,1777
3/1/2019,16 - 17,20663,22733,13181,2935,2043,1340,1110,1784
3/1/2019,17 - 18,20520,22816,13116,3158,2215,1316,1081,1748
3/1/2019,18 - 19,20176,22379,13129,3064,2141,1286,1041,1701
3/1/2019,19 - 20,19960,21789,12993,2856,2014,1245,996,1637
3/1/2019,20 - 21,19518,20992,12462,2655,1902,1188,940,1543
3/1/2019,21 - 22,19179,20115,12544,2470,1796,1117,861,1416
3/1/2019,22 - 23,18568,19138,12321,2295,1664,1038,783,1294
3/1/2019,23 - 00,17870,18120,11615,2122,1497,988,701,1216
4/1/2019,00 - 01,16947,16525,11175,1972,1371,911,678,1156
4/1/2019,01 - 02,16649,16200,10921,1929,1291,880,663,1129
4/1/2019,02 - 03,16479,16058,10780,1896,1257,869,656,1123
4/1/2019,03 - 04,16524,16029,10805,1905,1279,874,668,1139
4/1/2019,04 - 05,16618,16248,11076,1980,1317,915,704,1202
4/1/2019,05 - 06,17103,16891,11780,2140,1410,1008,828,1414
4/1/2019,06 - 07,18125,18118,12141,2533,1624,1139,961,1581
4/1/2019,07 - 08,19172,19549,12386,2884,1871,1251,1055,1711
4/1/2019,08 - 09,19795,20132,12318,3007,1978,1285,1084,1744
4/1/2019,09 - 10,20050,20170,12195,2974,2005,1293,1091,1746
4/1/2019,10 - 11,20127,20503,12218,3034,2012,1286,1089,1742
4/1/2019,11 - 12,20024,20528,12248,3009,1976,1274,1063,1725
4/1/2019,12 - 13,19782,20603,12192,2859,1937,1296,1077,1736
4/1/2019,13 - 14,19533,20545,12233,2774,1929,1292,1078,1721
4/1/2019,14 - 15,19490,20594,12379,2757,1892,1307,1084,1711
4/1/2019,15 - 16,19454,20912,12536,2673,1886,1336,1132,1746
4/1/2019,16 - 17,19373,21031,12520,2821,2023,1321,1124,1761
4/1/2019,17 - 18,19267,21015,12412,3006,2155,1302,1093,1724
4/1/2019,18 - 19,19083,20584,12388,2876,2081,1270,1036,1689
4/1/2019,19 - 20,18715,20041,12211,2625,1953,1232,1000,1640
4/1/2019,20 - 21,18167,19354,11712,2447,1811,1182,943,1546
4/1/2019,21 - 22,17710,18578,11784,2290,1671,1114,864,1412
4/1/2019,22 - 23,17208,17718,11559,2145,1537,1031,792,1305
4/1/2019,23 - 00,16689,16873,10971,2015,1422,969,731,1239
5/1/2019,00 - 01,15691,15854,10632,1912,1325,887,664,1187
5/1/2019,01 - 02,15378,15550,10431,1792,1242,862,650,1152
5/1/2019,02 - 03,15229,15360,10346,1749,1210,850,637,1135
5/1/2019,03 - 04,15311,15300,10361,1773,1202,851,639,1133
5/1/2019,04 - 05,15397,15384,10484,1830,1216,865,660,1150
5/1/2019,05 - 06,15590,15563,10753,1870,1242,901,704,1221
5/1/2019,06 - 07,16013,16050,10908,1944,1303,953,770,1310
5/1/2019,07 - 08,16555,16733,11276,2094,1405,1016,832,1389
5/1/2019,08 - 09,17230,17452,11394,2275,1528,1071,871,1476
5/1/2019,09 - 10,17806,18057,11481,2363,1646,1114,919,1564
5/1/2019,10 - 11,18220,18545,11536,2396,1732,1126,941,1581
5/1/2019,11 - 12,18249,18717,11534,2336,1730,1125,943,1594
5/1/2019,12 - 13,18283,18660,11558,2251,1732,1115,947,1598
5/1/2019,13 - 14,18054,18591,11596,2251,1712,1114,947,1567
5/1/2019,14 - 15,17998,18557,11851,2229,1677,1139,952,1571
5/1/2019,15 - 16,18203,18953,12209,2257,1698,1198,1006,1638
5/1/2019,16 - 17,18341,19517,12400,2450,1815,1200,1023,1701
5/1/2019,17 - 18,18266,19662,12440,2711,1957,1180,1008,1666
5/1/2019,18 - 19,18042,19392,12345,2643,1942,1157,977,1619
5/1/2019,19 - 20,17586,18908,12063,2428,1825,1126,954,1557
5/1/2019,20 - 21,17147,18330,11668,2293,1706,1084,914,1484
5/1/2019,21 - 22,16691,17742,11827,2185,1604,1022,844,1370
5/1/2019,22 - 23,16301,17174,11694,2020,1506,954,777,1261
5/1/2019,23 - 00,15965,16538,11436,1902,1411,899,711,1167
6/1/2019,00 - 01,16191,16150,11053,1767,1376,875,689,1161
6/1/2019,01 - 02,15857,15824,10846,1717,1285,857,672,1130
6/1/2019,02 - 03,15664,15620,10755,1723,1225,848,666,1118
6/1/2019,03 - 04,15659,15577,10692,1718,1202,850,666,1114
6/1/2019,04 - 05,15707,15689,10770,1739,1207,861,678,1131
6/1/2019,05 - 06,15843,15876,10936,1772,1232,892,715,1199
6/1/2019,06 - 07,15983,16473,10972,1862,1346,945,773,1269
6/1/2019,07 - 08,16344,17140,11230,1979,1467,1001,824,1325
6/1/2019,08 - 09,16755,17719,11246,2138,1579,1046,871,1411
6/1/2019,09 - 10,17088,18077,11359,2228,1691,1083,917,1506
6/1/2019,10 - 11,17533,18457,11573,2354,1761,1097,936,1547
6/1/2019,11 - 12,17666,18706,11601,2355,1786,1101,931,1565
6/1/2019,12 - 13,17525,18804,11490,2310,1759,1099,927,1558
6/1/2019,13 - 14,17451,18765,11486,2309,1731,1105,930,1546
6/1/2019,14 - 15,17483,18744,11659,2319,1737,1146,938,1532
6/1/2019,15 - 16,17836,19165,11956,2348,1777,1205,1003,1591
6/1/2019,16 - 17,18206,19590,11911,2531,1915,1218,1051,1722
6/1/2019,17 - 18,18187,19605,11953,2768,2083,1194,1033,1716
6/1/2019,18 - 19,18015,19246,11918,2702,2053,1162,1027,1700
6/1/2019,19 - 20,17829,18805,11695,2522,1934,1122,1000,1654
6/1/2019,20 - 21,17561,18214,11309,2305,1798,1076,951,1562
6/1/2019,21 - 22,17256,17501,11394,2165,1682,1012,868,1410
6/1/2019,22 - 23,16952,16756,11188,2072,1571,951,784,1282
6/1/2019,23 - 00,16418,16038,10561,1964,1481,900,735,1221
7/1/2019,00 - 01,16021,15578,10216,1822,1326,941,678,1168
7/1/2019,01 - 02,15786,15366,10019,1779,1269,929,661,1133
7/1/2019,02 - 03,15712,15322,9975,1799,1244,923,656,1132
7/1/2019,03 - 04,15661,15403,10010,1818,1267,928,664,1143
7/1/2019,04 - 05,15791,15673,10377,1868,1305,966,709,1212
7/1/2019,05 - 06,16210,16461,11209,2014,1367,1074,839,1464
7/1/2019,06 - 07,17189,18387,11649,2388,1579,1205,1006,1689
7/1/2019,07 - 08,18295,20075,11878,2874,1860,1308,1116,1814
7/1/2019,08 - 09,18852,20398,11767,3017,1980,1334,1149,1860
7/1/2019,09 - 10,19136,20282,11633,2998,1999,1350,1155,1856
7/1/2019,10 - 11,19238,20369,11578,3036,1973,1344,1137,1845
7/1/2019,11 - 12,19392,20348,11555,2969,1909,1330,1094,1817
7/1/2019,12 - 13,19191,20276,11517,2889,1910,1337,1121,1827
7/1/2019,13 - 14,19194,20243,11513,2922,1950,1320,1106,1815
7/1/2019,14 - 15,19352,20269,11604,2892,1952,1330,1119,1814
7/1/2019,15 - 16,19566,20601,11760,2872,1958,1347,1157,1857
7/1/2019,16 - 17,19794,20781,11835,2972,2074,1338,1178,1911
7/1/2019,17 - 18,19500,20873,11796,3129,2213,1308,1155,1891
7/1/2019,18 - 19,19069,20493,11809,3018,2136,1274,1110,1844
7/1/2019,19 - 20,18704,20015,11686,2828,2000,1229,1066,1780
7/1/2019,20 - 21,18305,19346,11267,2608,1851,1183,992,1686
7/1/2019,21 - 22,17896,18579,11299,2455,1726,1104,908,1481
7/1/2019,22 - 23,17419,17523,11085,2331,1581,1035,811,1324
7/1/2019,23 - 00,16903,16596,10701,2178,1457,970,741,1265
8/1/2019,00 - 01,17040,16019,10307,2062,1348,934,713,1232
8/1/2019,01 - 02,16771,15735,10137,2031,1292,914,688,1204
8/1/2019,02 - 03,16539,15608,10104,1937,1275,911,677,1195
8/1/2019,03 - 04,16531,15641,10175,1943,1283,918,688,1210
8/1/2019,04 - 05,16548,15884,10504,2016,1309,960,738,1283
8/1/2019,05 - 06,16854,16648,11293,2142,1412,1092,873,1529
8/1/2019,06 - 07,17719,18480,11634,2509,1639,1243,1037,1756
8/1/2019,07 - 08,18650,20157,11837,2876,1911,1349,1141,1832
8/1/2019,08 - 09,19044,20502,11727,3028,2015,1365,1178,1871
8/1/2019,09 - 10,19150,20391,11645,3004,2029,1370,1174,1879
8/1/2019,10 - 11,19340,20502,11638,3022,2036,1360,1161,1862
8/1/2019,11 - 12,19495,20483,11664,2989,2021,1340,1130,1829
8/1/2019,12 - 13,19534,20488,11616,2916,2019,1355,1155,1857
8/1/2019,13 - 14,19640,20436,11604,2955,2026,1342,1149,1848
8/1/2019,14 - 15,19841,20479,11683,2942,2008,1355,1159,1860
8/1/2019,15 - 16,20080,20808,11847,2935,2010,1370,1197,1902
8/1/2019,16 - 17,20268,21016,11931,2983,2112,1354,1197,1953
8/1/2019,17 - 18,20098,21143,11877,3182,2233,1333,1163,1926
8/1/2019,18 - 19,19803,20771,11878,3029,2179,1296,1121,1877
8/1/2019,19 - 20,19609,20357,11749,2881,2044,1254,1090,1809
8/1/2019,20 - 21,19499,19745,11306,2700,1905,1207,1038,1716
8/1/2019,21 - 22,19152,18966,11337,2532,1755,1129,933,1543
8/1/2019,22 - 23,18654,17986,11111,2432,1622,1040,836,1399
8/1/2019,23 - 00,18101,17073,10706,2317,1478,976,762,1285
9/1/2019,00 - 01,17545,16477,10388,2172,1401,956,727,1264
9/1/2019,01 - 02,17215,16213,10230,2090,1368,936,711,1237
9/1/2019,02 - 03,17078,16126,10203,2035,1367,926,701,1233
9/1/2019,03 - 04,16991,16195,10286,2078,1388,932,708,1243
9/1/2019,04 - 05,17032,16486,10618,2086,1425,971,754,1307
9/1/2019,05 - 06,17465,17334,11332,2223,1512,1089,889,1537
9/1/2019,06 - 07,18657,19322,11627,2587,1703,1240,1067,1751
9/1/2019,07 - 08,20009,21188,11827,2939,1979,1350,1167,1877
9/1/2019,08 - 09,20618,21600,11741,3084,2103,1373,1199,1915
9/1/2019,09 - 10,20702,21540,11677,3049,2103,1379,1197,1906
9/1/2019,10 - 11,20735,21652,11679,3058,2095,1369,1187,1894
9/1/2019,11 - 12,20582,21588,11700,3017,2098,1353,1156,1863
9/1/2019,12 - 13,20573,21438,11663,2933,2095,1368,1171,1868
9/1/2019,13 - 14,20550,21340,11640,2939,2103,1356,1171,1856
9/1/2019,14 - 15,20688,21435,11698,2883,2087,1376,1167,1863
9/1/2019,15 - 16,20961,21875,11839,2837,2072,1398,1211,1893
9/1/2019,16 - 17,21223,22268,11930,2915,2171,1383,1206,1918
9/1/2019,17 - 18,21050,22535,11897,3145,2270,1358,1180,1898
9/1/2019,18 - 19,20667,22172,11926,3008,2200,1321,1145,1855
9/1/2019,19 - 20,20515,21742,11839,2857,2101,1284,1098,1788
9/1/2019,20 - 21,20303,21138,11479,2677,2023,1232,1044,1700
9/1/2019,21 - 22,19866,20341,11537,2500,1872,1151,937,1570
9/1/2019,22 - 23,19281,19318,11356,2332,1727,1060,846,1404
9/1/2019,23 - 00,18509,18374,11005,2156,1598,1002,776,1293
10/1/2019,00 - 01,17657,17861,10785,2038,1418,957,730,1265
10/1/2019,01 - 02,17169,17606,10607,1988,1357,940,711,1245
10/1/2019,02 - 03,16975,17513,10575,1967,1338,938,704,1238
10/1/2019,03 - 04,16950,17591,10674,2016,1375,948,717,1261
10/1/2019,04 - 05,17003,17880,11056,2079,1408,984,766,1333
10/1/2019,05 - 06,17481,18701,11817,2194,1484,1111,900,1565
10/1/2019,06 - 07,18759,20650,12149,2569,1702,1267,1062,1783
10/1/2019,07 - 08,20240,22442,12307,2991,1993,1377,1183,1899
10/1/2019,08 - 09,20748,22802,12204,3141,2097,1399,1209,1930
10/1/2019,09 - 10,20910,22669,12135,3095,2096,1405,1216,1917
10/1/2019,10 - 11,20777,22741,12116,3135,2104,1396,1191,1898
10/1/2019,11 - 12,20598,22585,12137,3147,2094,1385,1152,1884
10/1/2019,12 - 13,20429,22314,12058,3042,2072,1401,1172,1905
10/1/2019,13 - 14,20354,22115,11988,3073,2047,1390,1173,1883
10/1/2019,14 - 15,20415,22064,11984,3025,2033,1404,1183,1884
10/1/2019,15 - 16,20565,22389,12109,2953,2037,1427,1209,1905
10/1/2019,16 - 17,20662,22708,12196,3043,2149,1419,1215,1938
10/1/2019,17 - 18,20636,22912,12151,3236,2284,1397,1206,1914
10/1/2019,18 - 19,20327,22422,12166,3081,2210,1368,1154,1859
10/1/2019,19 - 20,20011,21846,12031,2911,2111,1323,1120,1821
10/1/2019,20 - 21,19567,21073,11608,2713,2036,1270,1060,1723
10/1/2019,21 - 22,19210,20118,11602,2521,1956,1184,952,1567
10/1/2019,22 - 23,18606,18956,11349,2353,1826,1100,845,1423
10/1/2019,23 - 00,17811,17868,10925,2151,1540,1030,782,1297
11/1/2019,00 - 01,16759,16949,10520,1999,1390,970,733,1255
11/1/2019,01 - 02,16437,16617,10329,1962,1343,954,719,1257
11/1/2019,02 - 03,16292,16426,10252,1982,1325,949,710,1244
11/1/2019,03 - 04,16319,16416,10278,1955,1330,960,718,1245
11/1/2019,04 - 05,16477,16680,10605,2017,1378,999,764,1294
11/1/2019,05 - 06,16938,17430,11372,2119,1451,1119,894,1533
11/1/2019,06 - 07,18123,19379,11763,2501,1655,1272,1056,1757
11/1/2019,07 - 08,19295,21129,12009,2919,1917,1386,1157,1884
11/1/2019,08 - 09,19818,21533,11975,3052,2006,1408,1186,1907
11/1/2019,09 - 10,19866,21515,11877,2978,2009,1411,1177,1887
11/1/2019,10 - 11,19899,21485,11831,2986,2017,1404,1162,1866
11/1/2019,11 - 12,19878,21305,11764,2920,2001,1391,1129,1834
11/1/2019,12 - 13,19765,20987,11683,2820,1974,1403,1142,1872
11/1/2019,13 - 14,19577,20613,11646,2709,1945,1390,1132,1856
11/1/2019,14 - 15,19573,20479,11743,2584,1904,1400,1124,1844
11/1/2019,15 - 16,19701,20635,11957,2557,1891,1425,1169,1865
11/1/2019,16 - 17,19823,21119,11975,2732,2002,1412,1163,1928
11/1/2019,17 - 18,19752,21438,11854,2973,2132,1384,1142,1868
11/1/2019,18 - 19,19647,21077,11800,2877,2072,1349,1101,1819
11/1/2019,19 - 20,19321,20435,11620,2653,1949,1304,1069,1762
11/1/2019,20 - 21,18813,19593,11204,2449,1842,1243,1008,1670
11/1/2019,21 - 22,18472,18822,11249,2272,1726,1160,932,1520
11/1/2019,22 - 23,18168,18050,10988,2127,1582,1068,841,1401
11/1/2019,23 - 00,17745,17392,10404,2019,1463,1005,759,1287
12/1/2019,00 - 01,17273,16581,10295,1909,1366,968,725,1211
12/1/2019,01 - 02,16959,16275,10073,1840,1310,947,702,1188
12/1/2019,02 - 03,16762,16139,9972,1798,1291,935,695,1174
12/1/2019,03 - 04,16779,16131,9993,1800,1282,942,697,1174
12/1/2019,04 - 05,16856,16262,10116,1831,1286,951,715,1197
12/1/2019,05 - 06,17029,16533,10377,1846,1309,990,756,1271
12/1/2019,06 - 07,17493,17086,10532,1964,1380,1050,818,1367
12/1/2019,07 - 08,18158,17825,10887,2157,1492,1119,885,1456
12/1/2019,08 - 09,18869,18525,11026,2360,1609,1171,943,1564
12/1/2019,09 - 10,19278,19150,11127,2416,1703,1209,978,1636
12/1/2019,10 - 11,19620,19607,11180,2454,1769,1216,988,1660
12/1/2019,11 - 12,19683,19690,11177,2490,1790,1214,977,1659
12/1/2019,12 - 13,19658,19416,11175,2466,1774,1215,970,1649
12/1/2019,13 - 14,19332,19250,11180,2449,1751,1216,965,1624
12/1/2019,14 - 15,19260,19214,11373,2436,1738,1234,964,1600
12/1/2019,15 - 16,19519,19630,11748,2457,1763,1276,1001,1636
12/1/2019,16 - 17,19857,20316,12053,2572,1877,1283,1057,1757
12/1/2019,17 - 18,19914,20635,12145,2828,2015,1264,1042,1738
12/1/2019,18 - 19,19720,20379,12045,2710,1972,1236,1011,1702
12/1/2019,19 - 20,19302,19891,11730,2478,1846,1201,990,1653
12/1/2019,20 - 21,18835,19308,11298,2325,1727,1166,944,1574
12/1/2019,21 - 22,18426,18715,11449,2144,1621,1103,878,1436
12/1/2019,22 - 23,18091,18076,11285,2074,1538,1041,815,1324
12/1/2019,23 - 00,17659,17475,10709,2000,1448,992,742,1256
13-01-2019,00 - 01,17350,16856,10433,1888,1353,965,680,1219
13-01-2019,01 - 02,17118,16623,10189,1784,1274,938,659,1188
13-01-2019,02 - 03,16965,16503,10121,1736,1226,936,648,1167
13-01-2019,03 - 04,16952,16512,10120,1730,1204,935,648,1164
13-01-2019,04 - 05,17002,16642,10189,1763,1208,945,671,1180
13-01-2019,05 - 06,17179,16832,10377,1893,1233,977,710,1247
13-01-2019,06 - 07,17290,17252,10451,1887,1290,1031,769,1312
13-01-2019,07 - 08,17490,17690,10726,2054,1385,1103,816,1382
13-01-2019,08 - 09,17964,18175,10838,2246,1504,1148,870,1473
13-01-2019,09 - 10,18528,18724,11023,2342,1617,1177,904,1563
13-01-2019,10 - 11,18997,19136,11157,2447,1699,1189,915,1611
13-01-2019,11 - 12,19239,19381,11230,2485,1740,1194,906,1620
13-01-2019,12 - 13,19125,19428,11203,2476,1738,1195,903,1613
13-01-2019,13 - 14,19107,19337,11164,2457,1727,1194,903,1602
13-01-2019,14 - 15,19176,19277,11308,2417,1720,1216,910,1586
13-01-2019,15 - 16,19491,19564,11618,2452,1752,1267,965,1660
13-01-2019,16 - 17,19903,20086,11833,2594,1878,1280,1018,1773
13-01-2019,17 - 18,19916,20357,11852,2861,2039,1263,1009,1764
13-01-2019,18 - 19,19794,20162,11845,2742,2004,1237,985,1721
13-01-2019,19 - 20,19701,19795,11637,2583,1888,1204,962,1657
13-01-2019,20 - 21,19441,19271,11249,2443,1758,1157,907,1561
13-01-2019,21 - 22,19016,18593,11466,2340,1643,1091,830,1438
13-01-2019,22 - 23,18429,17863,11320,2192,1531,1029,756,1334
13-01-2019,23 - 00,17871,17225,11014,2074,1460,980,702,1237
14-01-2019,00 - 01,17591,16867,10664,1982,1385,979,654,1178
14-01-2019,01 - 02,17363,16725,10417,1966,1327,963,637,1152
14-01-2019,02 - 03,17261,16804,10324,1959,1294,956,631,1150
14-01-2019,03 - 04,17289,16984,10383,1982,1341,965,639,1167
14-01-2019,04 - 05,17486,17355,10759,2048,1384,994,679,1242
14-01-2019,05 - 06,17984,18231,11626,2230,1495,1110,812,1494
14-01-2019,06 - 07,19135,20246,12087,2615,1717,1273,983,1737
14-01-2019,07 - 08,20449,22028,12283,2993,1962,1381,1101,1871
14-01-2019,08 - 09,21002,22380,12155,3124,2039,1397,1151,1901
14-01-2019,09 - 10,21088,22336,12048,3094,2049,1397,1159,1903
14-01-2019,10 - 11,21116,22414,12010,3102,2071,1387,1142,1898
14-01-2019,11 - 12,21161,22274,11972,3026,2032,1371,1125,1870
14-01-2019,12 - 13,20961,21987,11900,2932,2014,1370,1131,1882
14-01-2019,13 - 14,20864,21853,11861,2957,1997,1354,1124,1863
14-01-2019,14 - 15,20927,21889,11883,2913,2002,1352,1118,1840
14-01-2019,15 - 16,21061,22167,12042,2832,1995,1374,1136,1847
14-01-2019,16 - 17,21294,22576,12190,2966,2103,1366,1148,1905
14-01-2019,17 - 18,21078,22930,12158,3243,2261,1332,1150,1878
14-01-2019,18 - 19,20610,22561,12163,3084,2186,1296,1100,1828
14-01-2019,19 - 20,20256,22078,12010,2935,2079,1257,1053,1763
14-01-2019,20 - 21,19850,21413,11552,2754,1938,1202,988,1657
14-01-2019,21 - 22,19540,20617,11595,2576,1782,1121,891,1492
14-01-2019,22 - 23,19094,19567,11392,2408,1625,1041,808,1335
14-01-2019,23 - 00,18577,18660,10948,2201,1510,980,728,1253
15-01-2019,00 - 01,18470,17965,10809,2094,1407,941,691,1220
15-01-2019,01 - 02,18139,17719,10633,2021,1339,924,671,1195
15-01-2019,02 - 03,17891,17644,10604,2014,1309,918,664,1192
15-01-2019,03 - 04,17866,17705,10716,2018,1334,925,672,1211
15-01-2019,04 - 05,17873,18033,11074,2107,1381,961,719,1288
15-01-2019,05 - 06,18130,18850,11837,2254,1480,1087,845,1523
15-01-2019,06 - 07,19238,20775,12204,2576,1708,1248,999,1747
15-01-2019,07 - 08,20352,22520,12365,2988,1994,1361,1107,1867
15-01-2019,08 - 09,20784,22846,12208,3116,2070,1378,1143,1902
15-01-2019,09 - 10,20751,22760,12135,3087,2036,1382,1146,1888
15-01-2019,10 - 11,20745,22831,12139,3192,2083,1378,1136,1876
15-01-2019,11 - 12,20679,22700,12181,3129,2049,1364,1116,1838
15-01-2019,12 - 13,20628,22463,12132,3045,2050,1375,1136,1847
15-01-2019,13 - 14,20710,22340,12099,3062,2061,1364,1138,1831
15-01-2019,14 - 15,20707,22451,12109,2996,2050,1375,1132,1825
15-01-2019,15 - 16,20787,22822,12251,2909,2021,1394,1150,1841
15-01-2019,16 - 17,21088,23217,12383,2926,2101,1387,1162,1904
15-01-2019,17 - 18,20982,23470,12340,3155,2237,1361,1143,1877
15-01-2019,18 - 19,20659,23036,12324,3029,2167,1321,1096,1828
15-01-2019,19 - 20,20421,22554,12169,2866,2047,1282,1066,1778
15-01-2019,20 - 21,20265,21884,11728,2662,1938,1224,997,1684
15-01-2019,21 - 22,19862,21056,11754,2493,1830,1140,904,1491
15-01-2019,22 - 23,19339,20008,11556,2338,1701,1049,811,1358
15-01-2019,23 - 00,18674,19040,11124,2163,1449,991,742,1275
16-01-2019,00 - 01,18555,18281,10883,2056,1347,990,692,1249
16-01-2019,01 - 02,18168,18020,10694,1992,1281,976,673,1219
16-01-2019,02 - 03,17993,17963,10639,1952,1265,970,665,1217
16-01-2019,03 - 04,17914,18048,10726,1976,1302,974,676,1233
16-01-2019,04 - 05,18080,18389,11099,2030,1329,1013,719,1303
16-01-2019,05 - 06,18708,19214,11913,2163,1400,1155,839,1545
16-01-2019,06 - 07,20120,21178,12312,2525,1621,1301,991,1761
16-01-2019,07 - 08,21641,22899,12518,2943,1887,1410,1098,1879
16-01-2019,08 - 09,22176,23151,12356,3051,1983,1438,1136,1912
16-01-2019,09 - 10,22115,22974,12291,3013,1997,1456,1136,1918
16-01-2019,10 - 11,22021,22947,12286,3048,2022,1445,1122,1906
16-01-2019,11 - 12,21766,22763,12331,3000,2007,1431,1103,1876
16-01-2019,12 - 13,21630,22589,12287,2970,1986,1443,1123,1887
16-01-2019,13 - 14,21516,22391,12278,3005,1961,1432,1113,1868
16-01-2019,14 - 15,21654,22306,12344,2970,1961,1438,1124,1853
16-01-2019,15 - 16,21938,22479,12526,2900,1975,1449,1147,1855
16-01-2019,16 - 17,22211,22595,12662,2961,2057,1449,1150,1914
16-01-2019,17 - 18,22013,22678,12630,3172,2184,1424,1123,1889
16-01-2019,18 - 19,21634,22103,12625,3023,2113,1394,1075,1822
16-01-2019,19 - 20,21421,21534,12452,2841,1981,1349,1045,1761
16-01-2019,20 - 21,21156,20760,11990,2669,1848,1285,965,1668
16-01-2019,21 - 22,20756,19838,12008,2489,1721,1190,886,1513
16-01-2019,22 - 23,20069,18711,11776,2327,1586,1099,800,1343
16-01-2019,23 - 00,19246,17706,11306,2169,1456,1025,733,1280
17-01-2019,00 - 01,18751,16864,11232,2058,1350,995,701,1241
