Wind power DK prognosis in MWh,,,
Data was last updated 31-12-2019,,,
,Hours,DK1,DK2
10/3/2019,07 - 08,1987,862
10/3/2019,08 - 09,1746,771
10/3/2019,09 - 10,1526,660
10/3/2019,10 - 11,1398,577
10/3/2019,11 - 12,1211,505
10/3/2019,12 - 13,1001,406
10/3/2019,13 - 14,868,283
10/3/2019,14 - 15,747,188
10/3/2019,15 - 16,658,150
10/3/2019,16 - 17,625,127
10/3/2019,17 - 18,650,127
10/3/2019,18 - 19,594,155
10/3/2019,19 - 20,581,230
10/3/2019,20 - 21,563,305
10/3/2019,21 - 22,528,294
10/3/2019,22 - 23,526,271
10/3/2019,23 - 00,547,248
11/3/2019,00 - 01,309,164
11/3/2019,01 - 02,308,118
11/3/2019,02 - 03,235,98
11/3/2019,03 - 04,175,67
11/3/2019,04 - 05,167,57
11/3/2019,05 - 06,146,61
11/3/2019,06 - 07,102,70
11/3/2019,07 - 08,93,77
11/3/2019,08 - 09,85,60
11/3/2019,09 - 10,87,58
11/3/2019,10 - 11,108,58
11/3/2019,11 - 12,137,70
11/3/2019,12 - 13,200,97
11/3/2019,13 - 14,319,120
11/3/2019,14 - 15,556,142
11/3/2019,15 - 16,810,150
11/3/2019,16 - 17,1002,152
11/3/2019,17 - 18,1230,137
11/3/2019,18 - 19,1331,143
11/3/2019,19 - 20,1365,177
11/3/2019,20 - 21,1316,271
11/3/2019,21 - 22,1197,368
11/3/2019,22 - 23,1023,378
11/3/2019,23 - 00,890,341
12/3/2019,00 - 01,901,207
12/3/2019,01 - 02,869,197
12/3/2019,02 - 03,775,248
12/3/2019,03 - 04,651,281
12/3/2019,04 - 05,636,284
12/3/2019,05 - 06,685,296
12/3/2019,06 - 07,808,300
12/3/2019,07 - 08,1000,320
12/3/2019,08 - 09,1300,358
12/3/2019,09 - 10,1608,379
12/3/2019,10 - 11,1978,433
12/3/2019,11 - 12,2432,478
12/3/2019,12 - 13,2820,519
12/3/2019,13 - 14,3187,623
12/3/2019,14 - 15,3425,766
12/3/2019,15 - 16,3486,884
12/3/2019,16 - 17,3380,935
12/3/2019,17 - 18,3511,992
12/3/2019,18 - 19,3522,1011
12/3/2019,19 - 20,3478,1028
12/3/2019,20 - 21,3445,1038
12/3/2019,21 - 22,3310,1023
12/3/2019,22 - 23,3131,1001
12/3/2019,23 - 00,2709,919
13-03-2019,00 - 01,2452,996
13-03-2019,01 - 02,2240,982
13-03-2019,02 - 03,2111,906
13-03-2019,03 - 04,2092,829
13-03-2019,04 - 05,2203,779
13-03-2019,05 - 06,2428,793
13-03-2019,06 - 07,2609,840
13-03-2019,07 - 08,2733,893
13-03-2019,08 - 09,2892,942
13-03-2019,09 - 10,2869,939
13-03-2019,10 - 11,2898,941
13-03-2019,11 - 12,2866,968
13-03-2019,12 - 13,2683,979
13-03-2019,13 - 14,2517,999
13-03-2019,14 - 15,2227,1016
13-03-2019,15 - 16,1929,1007
13-03-2019,16 - 17,1617,972
13-03-2019,17 - 18,1401,978
13-03-2019,18 - 19,1272,958
13-03-2019,19 - 20,1328,940
13-03-2019,20 - 21,1604,884
13-03-2019,21 - 22,1908,778
13-03-2019,22 - 23,2134,725
13-03-2019,23 - 00,2234,711
14-03-2019,00 - 01,2428,784
14-03-2019,01 - 02,2309,859
14-03-2019,02 - 03,2046,831
14-03-2019,03 - 04,1764,803
14-03-2019,04 - 05,1589,780
14-03-2019,05 - 06,1523,746
14-03-2019,06 - 07,1491,684
14-03-2019,07 - 08,1502,632
14-03-2019,08 - 09,1566,617
14-03-2019,09 - 10,1602,612
14-03-2019,10 - 11,1695,597
14-03-2019,11 - 12,1794,628
14-03-2019,12 - 13,1856,696
14-03-2019,13 - 14,1860,759
14-03-2019,14 - 15,1675,785
14-03-2019,15 - 16,1489,767
14-03-2019,16 - 17,1366,722
14-03-2019,17 - 18,1469,686
14-03-2019,18 - 19,1669,622
14-03-2019,19 - 20,1760,532
14-03-2019,20 - 21,1852,462
14-03-2019,21 - 22,1898,510
14-03-2019,22 - 23,1832,683
14-03-2019,23 - 00,1706,718
15-03-2019,00 - 01,1734,578
15-03-2019,01 - 02,1760,634
15-03-2019,02 - 03,1610,671
15-03-2019,03 - 04,1464,726
15-03-2019,04 - 05,1407,758
15-03-2019,05 - 06,1269,780
15-03-2019,06 - 07,1140,726
15-03-2019,07 - 08,1111,636
15-03-2019,08 - 09,1195,574
15-03-2019,09 - 10,1285,536
15-03-2019,10 - 11,1381,500
15-03-2019,11 - 12,1365,508
15-03-2019,12 - 13,1349,585
15-03-2019,13 - 14,1289,644
15-03-2019,14 - 15,1285,702
15-03-2019,15 - 16,1337,732
15-03-2019,16 - 17,1606,754
15-03-2019,17 - 18,2060,782
15-03-2019,18 - 19,2451,836
15-03-2019,19 - 20,2706,941
15-03-2019,20 - 21,2951,1001
15-03-2019,21 - 22,3150,1010
15-03-2019,22 - 23,3231,1011
15-03-2019,23 - 00,3206,978
16-03-2019,00 - 01,3330,1015
16-03-2019,01 - 02,3243,1017
16-03-2019,02 - 03,3109,954
16-03-2019,03 - 04,2918,926
16-03-2019,04 - 05,2799,894
16-03-2019,05 - 06,2660,874
16-03-2019,06 - 07,2448,828
16-03-2019,07 - 08,2234,792
16-03-2019,08 - 09,2197,782
16-03-2019,09 - 10,2133,735
16-03-2019,10 - 11,2056,706
16-03-2019,11 - 12,1813,660
16-03-2019,12 - 13,1554,567
16-03-2019,13 - 14,1322,455
16-03-2019,14 - 15,1054,368
16-03-2019,15 - 16,906,299
16-03-2019,16 - 17,885,334
16-03-2019,17 - 18,1063,445
16-03-2019,18 - 19,1416,501
16-03-2019,19 - 20,1805,583
16-03-2019,20 - 21,2266,686
16-03-2019,21 - 22,2654,766
16-03-2019,22 - 23,2906,840
16-03-2019,23 - 00,3024,873
17-03-2019,00 - 01,3327,937
17-03-2019,01 - 02,3415,941
17-03-2019,02 - 03,3308,904
17-03-2019,03 - 04,3230,913
17-03-2019,04 - 05,3514,930
17-03-2019,05 - 06,3504,964
17-03-2019,06 - 07,3345,972
17-03-2019,07 - 08,3240,962
17-03-2019,08 - 09,3354,964
17-03-2019,09 - 10,3355,926
17-03-2019,10 - 11,3465,885
17-03-2019,11 - 12,3606,889
17-03-2019,12 - 13,3695,956
17-03-2019,13 - 14,3780,996
17-03-2019,14 - 15,3739,1012
17-03-2019,15 - 16,3676,1015
17-03-2019,16 - 17,3611,1014
17-03-2019,17 - 18,3685,1040
17-03-2019,18 - 19,3717,1052
17-03-2019,19 - 20,3815,1081
17-03-2019,20 - 21,3892,1095
17-03-2019,21 - 22,3897,1094
17-03-2019,22 - 23,3888,1090
17-03-2019,23 - 00,3754,1048
18-03-2019,00 - 01,3678,1011
18-03-2019,01 - 02,3695,1018
18-03-2019,02 - 03,3556,980
18-03-2019,03 - 04,3385,977
18-03-2019,04 - 05,3276,969
18-03-2019,05 - 06,3160,994
18-03-2019,06 - 07,3015,998
18-03-2019,07 - 08,2876,977
18-03-2019,08 - 09,2890,990
18-03-2019,09 - 10,2909,977
18-03-2019,10 - 11,2907,940
18-03-2019,11 - 12,2944,930
18-03-2019,12 - 13,2950,918
18-03-2019,13 - 14,2926,899
18-03-2019,14 - 15,2790,858
18-03-2019,15 - 16,2603,806
18-03-2019,16 - 17,2388,759
18-03-2019,17 - 18,2227,713
18-03-2019,18 - 19,2058,680
18-03-2019,19 - 20,2028,670
18-03-2019,20 - 21,2025,661
18-03-2019,21 - 22,1940,644
18-03-2019,22 - 23,1778,585
18-03-2019,23 - 00,1595,496
19-03-2019,00 - 01,1243,383
19-03-2019,01 - 02,1177,357
19-03-2019,02 - 03,1071,316
19-03-2019,03 - 04,947,288
19-03-2019,04 - 05,852,267
19-03-2019,05 - 06,777,254
19-03-2019,06 - 07,707,228
19-03-2019,07 - 08,605,202
19-03-2019,08 - 09,494,169
19-03-2019,09 - 10,394,154
19-03-2019,10 - 11,310,142
19-03-2019,11 - 12,283,141
19-03-2019,12 - 13,283,155
19-03-2019,13 - 14,294,158
19-03-2019,14 - 15,302,139
19-03-2019,15 - 16,372,119
19-03-2019,16 - 17,417,103
19-03-2019,17 - 18,406,71
19-03-2019,18 - 19,432,46
19-03-2019,19 - 20,488,50
19-03-2019,20 - 21,580,108
19-03-2019,21 - 22,740,157
19-03-2019,22 - 23,971,141
19-03-2019,23 - 00,1313,133
20-03-2019,00 - 01,1834,155
20-03-2019,01 - 02,2117,207
20-03-2019,02 - 03,2256,261
20-03-2019,03 - 04,2330,313
20-03-2019,04 - 05,2404,369
20-03-2019,05 - 06,2383,487
20-03-2019,06 - 07,2245,580
20-03-2019,07 - 08,2047,611
20-03-2019,08 - 09,1860,645
20-03-2019,09 - 10,1639,652
20-03-2019,10 - 11,1502,639
20-03-2019,11 - 12,1466,647
20-03-2019,12 - 13,1483,641
20-03-2019,13 - 14,1524,629
20-03-2019,14 - 15,1484,593
20-03-2019,15 - 16,1418,559
20-03-2019,16 - 17,1264,516
20-03-2019,17 - 18,1108,469
20-03-2019,18 - 19,1021,465
20-03-2019,19 - 20,989,466
20-03-2019,20 - 21,979,460
20-03-2019,21 - 22,955,450
20-03-2019,22 - 23,1007,414
20-03-2019,23 - 00,1141,351
21-03-2019,00 - 01,1399,292
21-03-2019,01 - 02,1573,305
21-03-2019,02 - 03,1694,328
21-03-2019,03 - 04,1878,365
21-03-2019,04 - 05,2018,414
21-03-2019,05 - 06,2131,482
21-03-2019,06 - 07,2198,530
21-03-2019,07 - 08,2166,533
21-03-2019,08 - 09,2219,578
21-03-2019,09 - 10,2211,607
21-03-2019,10 - 11,2181,618
21-03-2019,11 - 12,2198,665
21-03-2019,12 - 13,2255,735
21-03-2019,13 - 14,2210,757
21-03-2019,14 - 15,2020,749
21-03-2019,15 - 16,1788,715
21-03-2019,16 - 17,1569,640
21-03-2019,17 - 18,1412,548
21-03-2019,18 - 19,1264,514
21-03-2019,19 - 20,1154,517
21-03-2019,20 - 21,1072,483
21-03-2019,21 - 22,988,448
21-03-2019,22 - 23,892,418
21-03-2019,23 - 00,734,356
22-03-2019,00 - 01,337,234
22-03-2019,01 - 02,186,182
22-03-2019,02 - 03,113,141
22-03-2019,03 - 04,76,100
22-03-2019,04 - 05,82,56
22-03-2019,05 - 06,122,35
22-03-2019,06 - 07,203,16
22-03-2019,07 - 08,266,14
22-03-2019,08 - 09,327,21
22-03-2019,09 - 10,408,21
22-03-2019,10 - 11,539,24
22-03-2019,11 - 12,729,38
22-03-2019,12 - 13,959,62
22-03-2019,13 - 14,1134,77
22-03-2019,14 - 15,1261,88
22-03-2019,15 - 16,1442,107
22-03-2019,16 - 17,1544,119
22-03-2019,17 - 18,1630,127
22-03-2019,18 - 19,1723,143
22-03-2019,19 - 20,1803,155
22-03-2019,20 - 21,1838,193
22-03-2019,21 - 22,1870,267
22-03-2019,22 - 23,1919,349
22-03-2019,23 - 00,1918,415
23-03-2019,00 - 01,1539,520
23-03-2019,01 - 02,1481,525
23-03-2019,02 - 03,1471,432
23-03-2019,03 - 04,1487,331
23-03-2019,04 - 05,1430,288
23-03-2019,05 - 06,1351,296
23-03-2019,06 - 07,1315,304
23-03-2019,07 - 08,1321,331
23-03-2019,08 - 09,1450,345
23-03-2019,09 - 10,1652,351
23-03-2019,10 - 11,1871,370
23-03-2019,11 - 12,2090,389
23-03-2019,12 - 13,2336,385
23-03-2019,13 - 14,2497,426
23-03-2019,14 - 15,2550,498
23-03-2019,15 - 16,2545,511
23-03-2019,16 - 17,2402,481
23-03-2019,17 - 18,2177,409
23-03-2019,18 - 19,1889,366
23-03-2019,19 - 20,1747,360
23-03-2019,20 - 21,1707,352
23-03-2019,21 - 22,1653,351
23-03-2019,22 - 23,1590,338
23-03-2019,23 - 00,1480,304
24-03-2019,00 - 01,1378,248
24-03-2019,01 - 02,1265,231
24-03-2019,02 - 03,1109,209
24-03-2019,03 - 04,984,186
24-03-2019,04 - 05,937,159
24-03-2019,05 - 06,938,136
24-03-2019,06 - 07,929,120
24-03-2019,07 - 08,990,105
24-03-2019,08 - 09,1156,104
24-03-2019,09 - 10,1409,97
24-03-2019,10 - 11,1736,101
24-03-2019,11 - 12,1986,124
24-03-2019,12 - 13,2195,163
24-03-2019,13 - 14,2347,206
24-03-2019,14 - 15,2526,255
24-03-2019,15 - 16,2589,305
24-03-2019,16 - 17,2552,361
24-03-2019,17 - 18,2594,477
24-03-2019,18 - 19,2525,557
24-03-2019,19 - 20,2544,615
24-03-2019,20 - 21,2645,663
24-03-2019,21 - 22,2664,693
24-03-2019,22 - 23,2547,718
24-03-2019,23 - 00,2501,763
25-03-2019,00 - 01,1983,679
25-03-2019,01 - 02,1905,678
25-03-2019,02 - 03,1807,644
25-03-2019,03 - 04,1708,606
25-03-2019,04 - 05,1707,583
25-03-2019,05 - 06,1752,577
25-03-2019,06 - 07,1847,542
25-03-2019,07 - 08,1902,475
25-03-2019,08 - 09,1968,450
25-03-2019,09 - 10,2080,433
25-03-2019,10 - 11,2098,421
25-03-2019,11 - 12,2048,395
25-03-2019,12 - 13,2040,415
25-03-2019,13 - 14,1988,487
25-03-2019,14 - 15,1814,577
25-03-2019,15 - 16,1636,619
25-03-2019,16 - 17,1468,598
25-03-2019,17 - 18,1209,505
25-03-2019,18 - 19,993,367
25-03-2019,19 - 20,1025,305
25-03-2019,20 - 21,1191,253
25-03-2019,21 - 22,1415,188
25-03-2019,22 - 23,1672,180
25-03-2019,23 - 00,1912,239
26-03-2019,00 - 01,2499,321
26-03-2019,01 - 02,2608,445
26-03-2019,02 - 03,2650,587
26-03-2019,03 - 04,2609,692
26-03-2019,04 - 05,2655,736
26-03-2019,05 - 06,2709,769
26-03-2019,06 - 07,2645,768
26-03-2019,07 - 08,2566,759
26-03-2019,08 - 09,2490,762
26-03-2019,09 - 10,2371,747
26-03-2019,10 - 11,2133,720
26-03-2019,11 - 12,1703,640
26-03-2019,12 - 13,1333,526
26-03-2019,13 - 14,1122,426
26-03-2019,14 - 15,1014,342
26-03-2019,15 - 16,971,281
26-03-2019,16 - 17,965,216
26-03-2019,17 - 18,955,152
26-03-2019,18 - 19,943,107
26-03-2019,19 - 20,1045,111
26-03-2019,20 - 21,1181,160
26-03-2019,21 - 22,1350,227
26-03-2019,22 - 23,1571,257
26-03-2019,23 - 00,1822,273
27-03-2019,00 - 01,1714,288
27-03-2019,01 - 02,1775,314
27-03-2019,02 - 03,1800,372
27-03-2019,03 - 04,1771,416
27-03-2019,04 - 05,1723,428
27-03-2019,05 - 06,1739,464
27-03-2019,06 - 07,1728,505
27-03-2019,07 - 08,1721,522
27-03-2019,08 - 09,1746,539
27-03-2019,09 - 10,1738,555
27-03-2019,10 - 11,1638,544
27-03-2019,11 - 12,1510,540
27-03-2019,12 - 13,1424,528
27-03-2019,13 - 14,1387,518
27-03-2019,14 - 15,1370,514
27-03-2019,15 - 16,1352,504
27-03-2019,16 - 17,1317,513
27-03-2019,17 - 18,1291,532
27-03-2019,18 - 19,1246,513
27-03-2019,19 - 20,1274,488
27-03-2019,20 - 21,1317,456
27-03-2019,21 - 22,1283,412
27-03-2019,22 - 23,1187,338
27-03-2019,23 - 00,1120,245
28-03-2019,00 - 01,1299,398
28-03-2019,01 - 02,1221,394
28-03-2019,02 - 03,1147,374
28-03-2019,03 - 04,1100,361
28-03-2019,04 - 05,1107,321
28-03-2019,05 - 06,1088,310
28-03-2019,06 - 07,1051,291
28-03-2019,07 - 08,1046,253
28-03-2019,08 - 09,1063,223
28-03-2019,09 - 10,1079,184
28-03-2019,10 - 11,1076,157
28-03-2019,11 - 12,1116,165
28-03-2019,12 - 13,1175,176
28-03-2019,13 - 14,1219,175
28-03-2019,14 - 15,1242,147
28-03-2019,15 - 16,1241,135
28-03-2019,16 - 17,1219,150
28-03-2019,17 - 18,1168,172
28-03-2019,18 - 19,1094,181
28-03-2019,19 - 20,1119,186
28-03-2019,20 - 21,1188,207
28-03-2019,21 - 22,1262,239
28-03-2019,22 - 23,1340,262
28-03-2019,23 - 00,1435,274
29-03-2019,00 - 01,1677,303
29-03-2019,01 - 02,1769,305
29-03-2019,02 - 03,1866,307
29-03-2019,03 - 04,1918,340
29-03-2019,04 - 05,2030,361
29-03-2019,05 - 06,2188,417
29-03-2019,06 - 07,2274,410
29-03-2019,07 - 08,2371,406
29-03-2019,08 - 09,2463,429
29-03-2019,09 - 10,2528,434
29-03-2019,10 - 11,2561,444
29-03-2019,11 - 12,2595,496
29-03-2019,12 - 13,2641,547
29-03-2019,13 - 14,2626,577
29-03-2019,14 - 15,2549,578
29-03-2019,15 - 16,2371,528
29-03-2019,16 - 17,2151,480
29-03-2019,17 - 18,1957,435
29-03-2019,18 - 19,1777,438
29-03-2019,19 - 20,1765,470
29-03-2019,20 - 21,1761,480
29-03-2019,21 - 22,1728,453
29-03-2019,22 - 23,1668,412
29-03-2019,23 - 00,1548,362
30-03-2019,00 - 01,1230,260
30-03-2019,01 - 02,1067,238
30-03-2019,02 - 03,909,194
30-03-2019,03 - 04,819,160
30-03-2019,04 - 05,797,154
30-03-2019,05 - 06,851,182
30-03-2019,06 - 07,929,216
30-03-2019,07 - 08,1018,231
30-03-2019,08 - 09,1135,251
30-03-2019,09 - 10,1298,264
30-03-2019,10 - 11,1424,262
30-03-2019,11 - 12,1572,256
30-03-2019,12 - 13,1724,268
30-03-2019,13 - 14,1766,287
30-03-2019,14 - 15,1783,315
30-03-2019,15 - 16,1781,356
30-03-2019,16 - 17,1802,383
30-03-2019,17 - 18,1862,416
30-03-2019,18 - 19,1824,478
30-03-2019,19 - 20,1855,513
30-03-2019,20 - 21,1889,542
30-03-2019,21 - 22,1947,581
30-03-2019,22 - 23,2041,604
30-03-2019,23 - 00,2247,565
31-03-2019,00 - 01,2390,504
31-03-2019,01 - 02,2523,491
31-03-2019,02 - 03,,
31-03-2019,03 - 04,2599,487
31-03-2019,04 - 05,2646,520
31-03-2019,05 - 06,2718,544
31-03-2019,06 - 07,2761,581
31-03-2019,07 - 08,2704,634
31-03-2019,08 - 09,2591,682
31-03-2019,09 - 10,2640,737
31-03-2019,10 - 11,2633,745
31-03-2019,11 - 12,2498,711
31-03-2019,12 - 13,2251,633
31-03-2019,13 - 14,2029,516
31-03-2019,14 - 15,1929,428
31-03-2019,15 - 16,1832,367
31-03-2019,16 - 17,1745,316
31-03-2019,17 - 18,1618,275
31-03-2019,18 - 19,1355,227
31-03-2019,19 - 20,962,160
31-03-2019,20 - 21,688,125
31-03-2019,21 - 22,535,119
31-03-2019,22 - 23,425,113
31-03-2019,23 - 00,309,89
1/4/2019,00 - 01,276,65
1/4/2019,01 - 02,181,53
1/4/2019,02 - 03,108,42
1/4/2019,03 - 04,59,29
1/4/2019,04 - 05,29,23
1/4/2019,05 - 06,24,21
1/4/2019,06 - 07,32,19
1/4/2019,07 - 08,48,16
1/4/2019,08 - 09,65,17
1/4/2019,09 - 10,93,22
1/4/2019,10 - 11,149,33
1/4/2019,11 - 12,211,49
1/4/2019,12 - 13,238,62
1/4/2019,13 - 14,264,80
1/4/2019,14 - 15,305,111
1/4/2019,15 - 16,343,149
1/4/2019,16 - 17,381,179
1/4/2019,17 - 18,448,209
1/4/2019,18 - 19,547,244
1/4/2019,19 - 20,633,337
1/4/2019,20 - 21,722,418
1/4/2019,21 - 22,1001,535
1/4/2019,22 - 23,1242,583
1/4/2019,23 - 00,1417,603
2/4/2019,00 - 01,1634,557
2/4/2019,01 - 02,1654,574
2/4/2019,02 - 03,1744,622
2/4/2019,03 - 04,1783,649
2/4/2019,04 - 05,1771,689
2/4/2019,05 - 06,1895,719
2/4/2019,06 - 07,2093,748
2/4/2019,07 - 08,2163,771
2/4/2019,08 - 09,2197,758
2/4/2019,09 - 10,2261,764
2/4/2019,10 - 11,2394,743
2/4/2019,11 - 12,2512,729
2/4/2019,12 - 13,2597,729
2/4/2019,13 - 14,2728,717
2/4/2019,14 - 15,2886,719
2/4/2019,15 - 16,2994,724
2/4/2019,16 - 17,3020,717
2/4/2019,17 - 18,2982,719
2/4/2019,18 - 19,2926,733
2/4/2019,19 - 20,2811,734
2/4/2019,20 - 21,2774,771
2/4/2019,21 - 22,2744,797
2/4/2019,22 - 23,2686,804
2/4/2019,23 - 00,2531,799
3/4/2019,00 - 01,2331,721
3/4/2019,01 - 02,2133,673
3/4/2019,02 - 03,1940,649
3/4/2019,03 - 04,1801,595
3/4/2019,04 - 05,1630,558
3/4/2019,05 - 06,1536,474
3/4/2019,06 - 07,1473,414
3/4/2019,07 - 08,1297,365
3/4/2019,08 - 09,1101,330
3/4/2019,09 - 10,923,272
3/4/2019,10 - 11,823,206
3/4/2019,11 - 12,739,161
3/4/2019,12 - 13,640,120
3/4/2019,13 - 14,562,101
3/4/2019,14 - 15,528,102
3/4/2019,15 - 16,513,115
3/4/2019,16 - 17,506,124
3/4/2019,17 - 18,495,127
3/4/2019,18 - 19,568,126
3/4/2019,19 - 20,657,127
3/4/2019,20 - 21,684,123
3/4/2019,21 - 22,682,127
3/4/2019,22 - 23,683,147
3/4/2019,23 - 00,683,160
4/4/2019,00 - 01,1038,345
4/4/2019,01 - 02,988,376
4/4/2019,02 - 03,1028,404
4/4/2019,03 - 04,1087,456
4/4/2019,04 - 05,1185,512
4/4/2019,05 - 06,1398,513
4/4/2019,06 - 07,1595,555
4/4/2019,07 - 08,1619,551
4/4/2019,08 - 09,1583,543
4/4/2019,09 - 10,1494,530
4/4/2019,10 - 11,1462,510
4/4/2019,11 - 12,1479,520
4/4/2019,12 - 13,1481,564
4/4/2019,13 - 14,1509,602
4/4/2019,14 - 15,1619,638
4/4/2019,15 - 16,1697,678
4/4/2019,16 - 17,1761,662
4/4/2019,17 - 18,1759,630
4/4/2019,18 - 19,1673,548
4/4/2019,19 - 20,1582,482
4/4/2019,20 - 21,1608,483
4/4/2019,21 - 22,1673,485
4/4/2019,22 - 23,1698,508
4/4/2019,23 - 00,1628,537
5/4/2019,00 - 01,1246,502
5/4/2019,01 - 02,1105,464
5/4/2019,02 - 03,1014,442
5/4/2019,03 - 04,978,388
5/4/2019,04 - 05,954,363
5/4/2019,05 - 06,1028,375
5/4/2019,06 - 07,1158,403
5/4/2019,07 - 08,1205,437
5/4/2019,08 - 09,1209,412
5/4/2019,09 - 10,1236,443
5/4/2019,10 - 11,1326,476
5/4/2019,11 - 12,1484,526
5/4/2019,12 - 13,1659,600
5/4/2019,13 - 14,1751,656
5/4/2019,14 - 15,1870,714
5/4/2019,15 - 16,1927,752
5/4/2019,16 - 17,1953,771
5/4/2019,17 - 18,1959,764
5/4/2019,18 - 19,1900,752
5/4/2019,19 - 20,1814,740
5/4/2019,20 - 21,1865,724
5/4/2019,21 - 22,1984,708
5/4/2019,22 - 23,2049,672
5/4/2019,23 - 00,2010,588
6/4/2019,00 - 01,1702,388
6/4/2019,01 - 02,1571,281
6/4/2019,02 - 03,1437,234
6/4/2019,03 - 04,1253,199
6/4/2019,04 - 05,1097,197
6/4/2019,05 - 06,1001,244
6/4/2019,06 - 07,962,305
6/4/2019,07 - 08,876,376
6/4/2019,08 - 09,806,356
6/4/2019,09 - 10,737,328
6/4/2019,10 - 11,719,304
6/4/2019,11 - 12,752,305
6/4/2019,12 - 13,807,338
6/4/2019,13 - 14,886,392
6/4/2019,14 - 15,936,445
6/4/2019,15 - 16,895,501
6/4/2019,16 - 17,832,546
6/4/2019,17 - 18,803,561
6/4/2019,18 - 19,775,573
6/4/2019,19 - 20,778,582
6/4/2019,20 - 21,845,599
6/4/2019,21 - 22,900,609
6/4/2019,22 - 23,855,590
6/4/2019,23 - 00,766,532
7/4/2019,00 - 01,416,344
7/4/2019,01 - 02,330,275
7/4/2019,02 - 03,279,235
7/4/2019,03 - 04,217,202
7/4/2019,04 - 05,187,172
7/4/2019,05 - 06,159,145
7/4/2019,06 - 07,154,141
7/4/2019,07 - 08,172,133
7/4/2019,08 - 09,170,117
7/4/2019,09 - 10,151,96
7/4/2019,10 - 11,144,67
7/4/2019,11 - 12,171,54
7/4/2019,12 - 13,204,51
7/4/2019,13 - 14,232,50
7/4/2019,14 - 15,249,55
7/4/2019,15 - 16,284,67
7/4/2019,16 - 17,331,74
7/4/2019,17 - 18,393,75
7/4/2019,18 - 19,448,74
7/4/2019,19 - 20,537,85
7/4/2019,20 - 21,688,83
7/4/2019,21 - 22,869,88
7/4/2019,22 - 23,956,88
7/4/2019,23 - 00,991,80
8/4/2019,00 - 01,1127,64
8/4/2019,01 - 02,1112,69
8/4/2019,02 - 03,1139,82
8/4/2019,03 - 04,1174,107
8/4/2019,04 - 05,1259,160
8/4/2019,05 - 06,1413,229
8/4/2019,06 - 07,1562,315
8/4/2019,07 - 08,1610,380
8/4/2019,08 - 09,1561,413
8/4/2019,09 - 10,1478,417
8/4/2019,10 - 11,1393,406
8/4/2019,11 - 12,1361,380
8/4/2019,12 - 13,1271,377
8/4/2019,13 - 14,1172,336
8/4/2019,14 - 15,1121,297
8/4/2019,15 - 16,1122,282
8/4/2019,16 - 17,1171,264
8/4/2019,17 - 18,1206,231
8/4/2019,18 - 19,1162,172
8/4/2019,19 - 20,1047,125
8/4/2019,20 - 21,950,111
8/4/2019,21 - 22,906,126
8/4/2019,22 - 23,856,113
8/4/2019,23 - 00,771,89
9/4/2019,00 - 01,1001,66
9/4/2019,01 - 02,963,56
9/4/2019,02 - 03,1070,52
9/4/2019,03 - 04,1186,51
9/4/2019,04 - 05,1185,54
9/4/2019,05 - 06,1191,65
9/4/2019,06 - 07,1239,84
9/4/2019,07 - 08,1184,117
9/4/2019,08 - 09,1061,160
9/4/2019,09 - 10,1072,217
9/4/2019,10 - 11,1026,235
9/4/2019,11 - 12,1034,251
9/4/2019,12 - 13,997,248
9/4/2019,13 - 14,945,235
9/4/2019,14 - 15,980,230
9/4/2019,15 - 16,1082,236
9/4/2019,16 - 17,1232,221
9/4/2019,17 - 18,1377,203
9/4/2019,18 - 19,1353,184
9/4/2019,19 - 20,1188,159
9/4/2019,20 - 21,1015,148
9/4/2019,21 - 22,919,133
9/4/2019,22 - 23,885,137
9/4/2019,23 - 00,832,147
10/4/2019,00 - 01,717,124
10/4/2019,01 - 02,707,95
10/4/2019,02 - 03,733,93
10/4/2019,03 - 04,840,108
10/4/2019,04 - 05,846,140
10/4/2019,05 - 06,878,181
10/4/2019,06 - 07,941,214
10/4/2019,07 - 08,949,239
10/4/2019,08 - 09,980,252
10/4/2019,09 - 10,1094,257
10/4/2019,10 - 11,1200,244
10/4/2019,11 - 12,1205,235
10/4/2019,12 - 13,1060,236
10/4/2019,13 - 14,879,231
10/4/2019,14 - 15,787,239
10/4/2019,15 - 16,756,232
10/4/2019,16 - 17,802,228
10/4/2019,17 - 18,853,234
10/4/2019,18 - 19,821,217
10/4/2019,19 - 20,721,178
10/4/2019,20 - 21,624,156
10/4/2019,21 - 22,580,132
10/4/2019,22 - 23,528,113
10/4/2019,23 - 00,464,98
11/4/2019,00 - 01,431,94
11/4/2019,01 - 02,381,71
11/4/2019,02 - 03,348,63
11/4/2019,03 - 04,362,63
11/4/2019,04 - 05,332,59
11/4/2019,05 - 06,347,58
11/4/2019,06 - 07,411,55
11/4/2019,07 - 08,434,58
11/4/2019,08 - 09,420,61
11/4/2019,09 - 10,447,65
11/4/2019,10 - 11,465,73
11/4/2019,11 - 12,469,92
11/4/2019,12 - 13,441,101
11/4/2019,13 - 14,430,109
11/4/2019,14 - 15,429,102
11/4/2019,15 - 16,480,111
11/4/2019,16 - 17,545,126
11/4/2019,17 - 18,598,134
11/4/2019,18 - 19,586,121
11/4/2019,19 - 20,517,90
11/4/2019,20 - 21,473,73
11/4/2019,21 - 22,460,59
11/4/2019,22 - 23,457,56
11/4/2019,23 - 00,406,59
12/4/2019,00 - 01,525,65
