Wind power DK prognosis in MWh,,,
Data was last updated 31-12-2019,,,
,Hours,DK1,DK2
8/1/2019,10 - 11,3019,883
8/1/2019,11 - 12,3212,955
8/1/2019,12 - 13,3383,985
8/1/2019,13 - 14,3457,989
8/1/2019,14 - 15,3526,989
8/1/2019,15 - 16,3587,1008
8/1/2019,16 - 17,3646,1018
8/1/2019,17 - 18,3661,1045
8/1/2019,18 - 19,3604,1065
8/1/2019,19 - 20,3711,1102
8/1/2019,20 - 21,3640,1087
8/1/2019,21 - 22,3480,1046
8/1/2019,22 - 23,3439,1045
8/1/2019,23 - 00,3530,1069
9/1/2019,00 - 01,3509,1056
9/1/2019,01 - 02,3391,1025
9/1/2019,02 - 03,3284,995
9/1/2019,03 - 04,3260,981
9/1/2019,04 - 05,3233,976
9/1/2019,05 - 06,3256,1006
9/1/2019,06 - 07,3245,1036
9/1/2019,07 - 08,3151,1021
9/1/2019,08 - 09,3075,989
9/1/2019,09 - 10,2975,961
9/1/2019,10 - 11,2983,977
9/1/2019,11 - 12,3012,988
9/1/2019,12 - 13,3023,982
9/1/2019,13 - 14,2944,961
9/1/2019,14 - 15,2774,936
9/1/2019,15 - 16,2529,899
9/1/2019,16 - 17,2332,850
9/1/2019,17 - 18,2151,822
9/1/2019,18 - 19,1955,786
9/1/2019,19 - 20,1849,770
9/1/2019,20 - 21,1655,702
9/1/2019,21 - 22,1437,621
9/1/2019,22 - 23,1277,579
9/1/2019,23 - 00,1114,542
10/1/2019,00 - 01,490,350
10/1/2019,01 - 02,355,304
10/1/2019,02 - 03,243,264
10/1/2019,03 - 04,176,231
10/1/2019,04 - 05,135,204
10/1/2019,05 - 06,118,163
10/1/2019,06 - 07,120,126
10/1/2019,07 - 08,119,93
10/1/2019,08 - 09,128,61
10/1/2019,09 - 10,159,47
10/1/2019,10 - 11,197,33
10/1/2019,11 - 12,251,24
10/1/2019,12 - 13,323,21
10/1/2019,13 - 14,429,23
10/1/2019,14 - 15,561,25
10/1/2019,15 - 16,709,32
10/1/2019,16 - 17,876,45
10/1/2019,17 - 18,1080,67
10/1/2019,18 - 19,1243,102
10/1/2019,19 - 20,1401,145
10/1/2019,20 - 21,1483,195
10/1/2019,21 - 22,1584,249
10/1/2019,22 - 23,1730,329
10/1/2019,23 - 00,1910,441
11/1/2019,00 - 01,2132,506
11/1/2019,01 - 02,2241,534
11/1/2019,02 - 03,2305,521
11/1/2019,03 - 04,2442,499
11/1/2019,04 - 05,2567,505
11/1/2019,05 - 06,2743,516
11/1/2019,06 - 07,2862,562
11/1/2019,07 - 08,2876,561
11/1/2019,08 - 09,2811,583
11/1/2019,09 - 10,2825,610
11/1/2019,10 - 11,2906,650
11/1/2019,11 - 12,2988,674
11/1/2019,12 - 13,3033,679
11/1/2019,13 - 14,3016,677
11/1/2019,14 - 15,2926,681
11/1/2019,15 - 16,2758,683
11/1/2019,16 - 17,2466,669
11/1/2019,17 - 18,2175,644
11/1/2019,18 - 19,1931,602
11/1/2019,19 - 20,1885,552
11/1/2019,20 - 21,1736,475
11/1/2019,21 - 22,1614,395
11/1/2019,22 - 23,1563,355
11/1/2019,23 - 00,1550,322
12/1/2019,00 - 01,1474,365
12/1/2019,01 - 02,1391,368
12/1/2019,02 - 03,1354,354
12/1/2019,03 - 04,1391,349
12/1/2019,04 - 05,1416,362
12/1/2019,05 - 06,1482,370
12/1/2019,06 - 07,1518,420
12/1/2019,07 - 08,1480,438
12/1/2019,08 - 09,1412,492
12/1/2019,09 - 10,1399,522
12/1/2019,10 - 11,1537,591
12/1/2019,11 - 12,1731,628
12/1/2019,12 - 13,1931,644
12/1/2019,13 - 14,2076,675
12/1/2019,14 - 15,2179,718
12/1/2019,15 - 16,2248,747
12/1/2019,16 - 17,2257,763
12/1/2019,17 - 18,2196,785
12/1/2019,18 - 19,2105,799
12/1/2019,19 - 20,1984,787
12/1/2019,20 - 21,1877,749
12/1/2019,21 - 22,1748,697
12/1/2019,22 - 23,1698,712
12/1/2019,23 - 00,1837,709
13-01-2019,00 - 01,1813,688
13-01-2019,01 - 02,1689,682
13-01-2019,02 - 03,1764,653
13-01-2019,03 - 04,1875,638
13-01-2019,04 - 05,1994,655
13-01-2019,05 - 06,2122,664
13-01-2019,06 - 07,2169,693
13-01-2019,07 - 08,2276,682
13-01-2019,08 - 09,2603,691
13-01-2019,09 - 10,2966,686
13-01-2019,10 - 11,3233,767
13-01-2019,11 - 12,3363,891
13-01-2019,12 - 13,3493,950
13-01-2019,13 - 14,3569,972
13-01-2019,14 - 15,3588,992
13-01-2019,15 - 16,3658,1011
13-01-2019,16 - 17,3676,1018
13-01-2019,17 - 18,3690,1033
13-01-2019,18 - 19,3681,1072
13-01-2019,19 - 20,3639,1076
13-01-2019,20 - 21,3488,1054
13-01-2019,21 - 22,3371,1029
13-01-2019,22 - 23,3408,1041
13-01-2019,23 - 00,3570,1058
14-01-2019,00 - 01,3647,1051
14-01-2019,01 - 02,3483,1056
14-01-2019,02 - 03,3230,1024
14-01-2019,03 - 04,3345,1013
14-01-2019,04 - 05,3432,1013
14-01-2019,05 - 06,3443,1015
14-01-2019,06 - 07,3440,1036
14-01-2019,07 - 08,3350,989
14-01-2019,08 - 09,3201,950
14-01-2019,09 - 10,3127,911
14-01-2019,10 - 11,3182,925
14-01-2019,11 - 12,3309,977
14-01-2019,12 - 13,3433,999
14-01-2019,13 - 14,3497,1008
14-01-2019,14 - 15,3520,1016
14-01-2019,15 - 16,3542,1018
14-01-2019,16 - 17,3538,1009
14-01-2019,17 - 18,3560,1010
14-01-2019,18 - 19,3571,1015
14-01-2019,19 - 20,3472,1003
14-01-2019,20 - 21,3349,981
14-01-2019,21 - 22,3291,958
14-01-2019,22 - 23,3147,963
14-01-2019,23 - 00,3034,976
15-01-2019,00 - 01,2342,948
15-01-2019,01 - 02,2155,900
15-01-2019,02 - 03,2065,799
15-01-2019,03 - 04,1977,690
15-01-2019,04 - 05,1847,687
15-01-2019,05 - 06,1639,672
15-01-2019,06 - 07,1313,652
15-01-2019,07 - 08,1020,589
15-01-2019,08 - 09,844,508
15-01-2019,09 - 10,843,394
15-01-2019,10 - 11,1104,337
15-01-2019,11 - 12,1766,269
15-01-2019,12 - 13,2386,250
15-01-2019,13 - 14,2721,453
15-01-2019,14 - 15,3022,731
15-01-2019,15 - 16,3137,900
15-01-2019,16 - 17,3070,959
15-01-2019,17 - 18,2816,979
15-01-2019,18 - 19,2488,968
15-01-2019,19 - 20,2189,904
15-01-2019,20 - 21,1997,819
15-01-2019,21 - 22,1894,737
15-01-2019,22 - 23,1810,704
15-01-2019,23 - 00,1923,678
16-01-2019,00 - 01,1587,609
16-01-2019,01 - 02,1629,549
16-01-2019,02 - 03,1711,601
16-01-2019,03 - 04,1797,654
16-01-2019,04 - 05,1922,700
16-01-2019,05 - 06,2152,740
16-01-2019,06 - 07,2332,793
16-01-2019,07 - 08,2394,755
16-01-2019,08 - 09,2387,684
16-01-2019,09 - 10,2456,613
16-01-2019,10 - 11,2631,633
16-01-2019,11 - 12,2880,683
16-01-2019,12 - 13,3093,715
16-01-2019,13 - 14,3141,735
16-01-2019,14 - 15,3188,778
16-01-2019,15 - 16,3244,832
16-01-2019,16 - 17,3257,870
16-01-2019,17 - 18,3335,931
16-01-2019,18 - 19,3392,982
16-01-2019,19 - 20,3330,1003
16-01-2019,20 - 21,3161,1008
16-01-2019,21 - 22,3111,1005
16-01-2019,22 - 23,2941,1022
16-01-2019,23 - 00,2841,1066
17-01-2019,00 - 01,2607,1002
17-01-2019,01 - 02,2379,970
17-01-2019,02 - 03,2162,892
17-01-2019,03 - 04,1973,775
17-01-2019,04 - 05,1842,754
17-01-2019,05 - 06,1699,825
17-01-2019,06 - 07,1540,879
17-01-2019,07 - 08,1421,869
17-01-2019,08 - 09,1352,840
17-01-2019,09 - 10,1326,760
17-01-2019,10 - 11,1225,718
17-01-2019,11 - 12,1241,662
17-01-2019,12 - 13,1350,562
17-01-2019,13 - 14,1429,447
17-01-2019,14 - 15,1408,422
17-01-2019,15 - 16,1475,416
17-01-2019,16 - 17,1594,418
17-01-2019,17 - 18,1839,430
17-01-2019,18 - 19,2010,456
17-01-2019,19 - 20,1971,492
17-01-2019,20 - 21,1821,524
17-01-2019,21 - 22,1720,570
17-01-2019,22 - 23,1542,609
17-01-2019,23 - 00,1284,606
18-01-2019,00 - 01,1067,705
18-01-2019,01 - 02,964,630
18-01-2019,02 - 03,839,519
18-01-2019,03 - 04,807,395
18-01-2019,04 - 05,822,307
18-01-2019,05 - 06,866,211
18-01-2019,06 - 07,952,143
18-01-2019,07 - 08,874,126
18-01-2019,08 - 09,790,147
18-01-2019,09 - 10,758,200
18-01-2019,10 - 11,713,262
