Regulating prices in EUR/MWh,,,,,,,,,,,,,,,,,,,,,,,,,
Data was last updated 01-01-2019,,,,,,,,,,,,,,,,,,,,,,,,,
,,NO1,,NO2,,NO3,,NO4,,NO5,,SE1,,SE2,,SE3,,SE4,,FI,,DK1,,DK2,
,Hours,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down
1/1/2017,00 - 01,"28,40","15,39","28,40","15,39","24,03","15,39","24,03","15,39","28,40","15,39","24,03","15,39","24,03","15,39","24,03","15,39","24,03","15,39","24,03","15,39","20,96","15,39","20,96","15,39"
1/1/2017,01 - 02,"28,17","28,17","28,17","28,17","25,05","24,03","25,05","24,03","28,17","28,17","25,05","24,03","25,05","24,03","25,05","24,03","25,05","24,03","25,05","24,03","25,05","20,90","25,05","20,90"
1/1/2017,02 - 03,"28,03","28,03","28,03","28,03","25,05","24,02","25,05","24,02","28,03","28,03","25,05","24,02","25,05","24,02","25,05","24,02","25,05","24,02","25,05","24,02","25,05","18,13","25,05","18,13"
1/1/2017,03 - 04,"28,00","28,00","28,00","28,00","23,19","23,19","23,19","23,19","28,00","28,00","23,19","23,19","23,19","23,19","23,19","23,19","23,19","23,19","23,19","23,19","16,03","16,03","16,03","16,03"
1/1/2017,04 - 05,"28,02","23,09","28,02","23,09","24,10","23,09","24,10","23,09","28,02","23,09","24,10","23,09","24,10","23,09","24,10","23,09","24,10","23,09","24,10","23,09","16,43","16,43","16,43","16,43"
1/1/2017,05 - 06,"28,14","21,44","28,14","21,44","25,01","21,44","25,01","21,44","28,14","21,44","25,01","21,44","25,01","21,44","25,01","21,44","25,01","21,44","25,01","21,44","13,75","13,75","13,75","13,75"
1/1/2017,06 - 07,"28,31","21,44","28,31","21,44","25,62","21,44","25,62","21,44","28,31","21,44","25,62","21,44","25,62","21,44","25,62","21,44","25,62","21,44","25,62","21,44","11,10","11,10","11,10","11,10"
1/1/2017,07 - 08,"28,09","18,14","28,09","18,14","25,87","18,14","25,87","18,14","28,09","18,14","25,87","18,14","25,87","18,14","25,87","18,14","25,87","18,14","25,87","18,14","15,47","15,47","15,47","15,47"
1/1/2017,08 - 09,"27,73","18,14","27,73","18,14","26,18","18,14","26,18","18,14","27,73","18,14","26,18","18,14","26,18","18,14","26,18","18,14","26,18","18,14","26,18","18,14","16,88","16,88","16,88","16,88"
1/1/2017,09 - 10,"28,28","18,40","28,28","18,40","25,74","18,40","25,74","18,40","28,28","18,40","25,74","18,40","25,74","18,40","25,74","18,40","25,74","18,40","25,74","18,40","21,81","18,40","21,81","18,40"
1/1/2017,10 - 11,"28,36","18,14","28,36","18,14","26,89","18,14","26,89","18,14","28,36","18,14","26,89","18,14","26,89","18,14","26,89","18,14","26,89","18,14","26,89","18,14","26,24","18,14","26,24","18,14"
1/1/2017,11 - 12,"28,52","24,50","28,52","24,50","27,48","24,50","27,48","24,50","28,52","24,50","27,48","24,50","27,48","24,50","27,48","24,50","27,48","24,50","27,48","24,50","27,48","24,50","27,48","24,50"
1/1/2017,12 - 13,"28,51","26,00","28,51","26,00","28,04","26,00","28,04","26,00","28,51","26,00","28,04","26,00","28,04","26,00","28,04","26,00","28,04","26,00","28,04","26,00","28,04","26,00","28,04","26,00"
1/1/2017,13 - 14,"28,74","28,74","28,74","28,74","28,70","28,70","28,70","28,70","28,74","28,74","28,70","28,70","28,70","28,70","28,70","28,70","28,70","28,70","28,70","28,70","28,70","28,70","28,70","28,70"
1/1/2017,14 - 15,"29,66","24,18","29,66","24,18","29,66","24,18","29,66","24,18","29,66","24,18","29,66","24,18","29,66","24,18","29,66","24,18","29,66","24,18","29,66","24,18","29,66","24,18","29,66","24,18"
1/1/2017,15 - 16,"30,38","24,18","30,38","24,18","30,38","24,18","30,38","24,18","30,38","24,18","30,38","24,18","30,38","24,18","30,38","24,18","30,38","24,18","30,38","24,18","30,38","24,18","30,38","24,18"
1/1/2017,16 - 17,"30,80","30,80","30,76","30,76","30,76","30,76","30,76","30,76","30,76","30,76","30,80","30,80","30,80","30,80","30,80","30,80","30,80","30,80","30,80","30,80","30,80","30,80","30,80","30,80"
1/1/2017,17 - 18,"30,93","30,93","30,93","30,93","30,93","30,93","30,93","30,93","30,93","30,93","30,93","30,93","30,93","30,93","30,93","30,93","30,93","30,93","30,93","30,93","30,93","30,93","30,93","30,93"
1/1/2017,18 - 19,"30,78","30,78","30,78","30,78","30,78","30,78","30,78","30,78","30,78","30,78","30,78","30,78","30,78","30,78","30,78","30,78","30,78","30,78","30,78","30,78","30,78","30,78","30,78","30,78"
1/1/2017,19 - 20,"30,51","30,51","30,51","30,51","30,51","30,51","30,51","30,51","30,51","30,51","30,51","30,51","30,51","30,51","30,51","30,51","30,51","30,51","30,51","30,51","30,51","30,51","30,51","30,51"
1/1/2017,20 - 21,"30,19","30,19","30,19","30,19","30,19","30,19","30,19","30,19","30,19","30,19","30,19","30,19","30,19","30,19","30,19","30,19","30,19","30,19","30,19","30,19","30,19","30,19","30,19","30,19"
1/1/2017,21 - 22,"29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94"
1/1/2017,22 - 23,"29,65","29,65","29,65","29,65","29,65","29,65","29,65","29,65","29,65","29,65","29,65","29,65","29,65","29,65","29,65","29,65","29,65","29,65","29,65","29,65","29,65","29,65","29,65","29,65"
1/1/2017,23 - 00,"29,36","29,36","29,36","29,36","29,36","29,36","29,36","29,36","29,36","29,36","29,36","29,36","29,36","29,36","29,36","29,36","29,36","29,36","29,36","29,36","29,36","29,36","29,36","29,36"
2/1/2017,00 - 01,"29,40","29,40","29,40","29,40","29,40","29,40","29,40","29,40","29,40","29,40","29,40","29,40","29,40","29,40","29,40","29,40","29,40","29,40","29,40","29,40","29,40","29,40","29,40","29,40"
2/1/2017,01 - 02,"28,91","24,73","28,91","24,73","28,91","24,73","28,91","24,73","28,91","24,73","28,91","24,73","28,91","24,73","28,91","24,73","28,91","24,73","28,91","24,73","28,91","24,73","28,91","24,73"
