Regulating prices in EUR/MWh,,,,,,,,,,,,,,,,,,,,,,,,,
Data was last updated 11-01-2018,,,,,,,,,,,,,,,,,,,,,,,,,
,,NO1,,NO2,,NO3,,NO4,,NO5,,SE1,,SE2,,SE3,,SE4,,FI,,DK1,,DK2,
,Hours,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down
1/1/2016,00 - 01,"17,00","16,39","17,00","16,39","17,00","16,39","17,00","16,39","17,00","16,39","17,00","16,39","17,00","16,39","17,00","16,39","17,00","16,39","17,00","16,39","17,00","16,39","17,00","16,39"
1/1/2016,01 - 02,"17,00","16,04","17,00","16,04","17,00","16,04","17,00","16,04","17,00","16,04","17,00","16,04","17,00","16,04","17,00","16,04","17,00","16,04","17,00","16,04","17,00","16,04","17,00","16,04"
1/1/2016,02 - 03,"15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74"
1/1/2016,03 - 04,"15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57"
1/1/2016,04 - 05,"15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47"
1/1/2016,05 - 06,"15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75"
1/1/2016,06 - 07,"15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36"
1/1/2016,07 - 08,"15,37","13,01","15,37","13,01","15,37","13,01","15,37","13,01","15,37","13,01","15,37","13,01","15,37","13,01","15,37","13,01","15,37","13,01","15,37","13,01","15,37","13,01","15,37","13,01"
1/1/2016,08 - 09,"15,19","13,01","15,19","13,01","15,19","13,01","15,19","13,01","15,19","13,01","15,19","13,01","15,19","13,01","15,19","13,01","15,19","13,01","15,19","13,01","15,19","13,01","15,19","13,01"
1/1/2016,09 - 10,"15,39","13,01","15,39","13,01","15,39","13,01","15,39","13,01","15,39","13,01","15,39","13,01","15,39","13,01","15,39","13,01","15,39","13,01","15,39","13,01","15,39","13,01","15,39","13,01"
1/1/2016,10 - 11,"17,40","15,00","17,40","15,00","17,40","15,00","17,40","15,00","17,40","15,00","17,40","15,00","17,40","15,00","17,40","15,00","17,40","15,00","17,40","15,00","15,78","15,00","17,40","15,00"
1/1/2016,11 - 12,"18,00","16,15","18,00","16,15","18,00","16,15","18,00","16,15","18,00","16,15","18,00","16,15","18,00","16,15","18,00","16,15","18,00","16,15","18,00","16,15","18,00","16,15","18,00","16,15"
1/1/2016,12 - 13,"20,00","16,50","20,00","16,50","20,00","16,50","20,00","16,50","20,00","16,50","20,00","16,50","20,00","16,50","20,00","16,50","20,00","16,50","20,00","16,50","20,00","16,50","20,00","16,50"
1/1/2016,13 - 14,"20,00","16,72","20,00","16,72","20,00","16,72","20,00","16,72","20,00","16,72","20,00","16,72","20,00","16,72","20,00","16,72","20,00","16,72","20,00","16,72","20,00","16,72","20,00","16,72"
1/1/2016,14 - 15,"20,00","17,17","20,00","17,17","20,00","17,17","20,00","17,17","20,00","17,17","20,00","17,17","20,00","17,17","20,00","17,17","20,00","17,17","20,00","17,17","20,00","17,17","20,00","17,17"
1/1/2016,15 - 16,"20,82","18,00","20,82","18,00","20,82","18,00","20,82","18,00","20,82","18,00","20,82","18,00","20,82","18,00","20,82","18,00","20,82","18,00","20,82","18,00","20,82","18,00","20,82","18,00"
1/1/2016,16 - 17,"22,00","18,53","22,00","18,53","22,00","18,46","22,00","18,46","22,00","18,53","22,00","18,46","22,00","18,46","22,00","18,53","22,00","18,53","29,00","18,53","22,00","18,53","22,00","18,53"
1/1/2016,17 - 18,"21,86","19,11","21,86","19,11","21,86","18,51","21,86","18,51","21,86","19,11","21,86","18,51","21,86","18,51","21,86","19,11","21,86","19,11","42,00","19,11","67,02","19,11","67,02","19,11"
1/1/2016,18 - 19,"21,86","18,68","21,86","18,68","21,86","18,62","21,86","18,62","21,86","18,68","21,86","18,62","21,86","18,62","21,86","18,68","21,86","18,68","42,00","18,68","41,17","18,68","41,17","18,68"
1/1/2016,19 - 20,"20,00","17,93","20,00","17,93","20,00","17,93","20,00","17,93","20,00","17,93","20,00","17,93","20,00","17,93","20,00","17,93","20,00","17,93","22,00","17,93","20,00","17,93","20,00","17,93"
1/1/2016,20 - 21,"19,00","17,69","19,00","17,69","19,00","17,69","19,00","17,69","19,00","17,69","19,00","17,69","19,00","17,69","19,00","17,69","19,00","17,69","19,00","17,69","19,00","17,69","19,00","17,69"
1/1/2016,21 - 22,"19,00","17,33","19,00","17,33","19,00","17,33","19,00","17,33","19,00","17,33","19,00","17,33","19,00","17,33","19,00","17,33","19,00","17,33","25,00","19,29","19,00","17,33","19,00","17,33"
1/1/2016,22 - 23,"19,00","16,75","19,00","16,75","19,00","16,75","19,00","16,75","19,00","16,75","19,00","16,75","19,00","16,75","19,00","16,75","19,00","16,75","59,00","22,04","19,00","16,75","19,00","16,75"
1/1/2016,23 - 00,"16,25","16,25","16,25","16,25","16,25","16,25","16,25","16,25","16,25","16,25","16,25","16,25","16,25","16,25","16,25","16,25","16,25","16,25","35,00","16,25","16,25","16,25","16,25","16,25"
2/1/2016,00 - 01,"16,47","16,47","16,47","16,47","16,47","16,47","16,47","16,47","16,47","16,47","16,47","16,47","16,47","16,47","16,47","16,47","16,47","16,47","16,47","16,47","0,67","0,67","16,47","16,47"
2/1/2016,01 - 02,"17,24","15,89","17,24","15,89","17,24","15,89","17,24","15,89","17,24","15,89","17,24","15,89","17,24","15,89","17,24","15,89","17,24","15,89","17,24","15,89","17,24","9,90","17,24","15,89"
2/1/2016,02 - 03,"17,24","15,03","17,24","15,03","17,24","15,03","17,24","15,03","17,24","15,03","17,24","15,03","17,24","15,03","17,24","15,03","17,24","15,03","17,24","15,03","17,24","15,03","17,24","15,03"
2/1/2016,03 - 04,"13,19","13,19","13,19","13,19","13,19","13,19","13,19","13,19","13,19","13,19","13,19","13,19","13,19","13,19","13,19","13,19","13,19","13,19","13,19","13,19","12,77","12,77","13,19","13,19"
2/1/2016,04 - 05,"12,69","10,78","12,69","10,78","12,69","10,78","12,69","10,78","12,69","10,78","12,69","10,78","12,69","10,78","12,69","10,78","12,69","10,78","12,69","10,78","11,27","10,78","12,69","10,78"
2/1/2016,05 - 06,"12,94","10,78","12,94","10,78","12,94","10,78","12,94","10,78","12,94","10,78","12,94","10,78","12,94","10,78","12,94","10,78","12,94","10,78","12,94","10,78","11,91","-23,46","12,94","10,78"
2/1/2016,06 - 07,"13,59","8,00","13,59","8,00","13,59","8,00","13,59","8,00","13,59","8,00","13,59","8,00","13,59","8,00","13,59","8,00","13,59","8,00","13,59","8,00","12,62","-26,81","13,59","8,00"
2/1/2016,07 - 08,"14,25","8,00","14,25","8,00","14,25","8,00","14,25","8,00","14,25","8,00","14,25","8,00","14,25","8,00","14,25","8,00","14,25","8,00","17,37","8,00","13,83","-40,21","14,25","8,00"
2/1/2016,08 - 09,"15,70","12,50","15,70","12,50","15,70","12,50","15,70","12,50","15,70","12,50","15,70","12,50","15,70","12,50","15,70","12,50","15,70","12,50","19,34","12,50","16,12","12,50","15,70","12,50"
2/1/2016,09 - 10,"15,72","12,50","15,72","12,50","15,72","12,50","15,72","12,50","15,72","12,50","15,72","12,50","15,72","12,50","15,72","12,50","15,72","12,50","19,96","12,50","15,72","12,50","15,72","12,50"
2/1/2016,10 - 11,"18,79","15,97","18,79","15,97","18,79","15,97","18,79","15,97","18,79","15,97","18,79","15,97","18,79","15,97","18,79","15,97","18,79","15,97","19,91","19,91","18,79","15,97","18,79","15,97"
2/1/2016,11 - 12,"19,00","16,14","19,00","15,98","19,00","16,14","19,00","16,14","19,00","16,14","19,00","16,14","19,00","16,14","19,00","16,14","19,00","16,14","19,00","16,14","19,00","15,98","19,00","16,14"
2/1/2016,12 - 13,"19,40","15,87","19,40","15,87","19,40","16,06","19,40","16,06","19,40","15,87","19,40","15,87","19,40","15,87","19,40","15,87","19,40","15,87","19,40","15,87","19,40","15,87","19,40","15,87"
2/1/2016,13 - 14,"19,40","15,98","19,40","15,98","19,40","16,08","19,40","16,08","19,40","15,98","19,40","15,98","19,40","15,98","19,40","15,98","19,40","15,98","19,97","19,97","19,40","15,98","19,40","15,98"
2/1/2016,14 - 15,"19,40","16,12","19,40","15,99","19,40","16,13","19,40","16,13","19,40","16,12","19,40","16,12","19,40","16,12","19,40","16,12","19,40","16,12","59,00","27,76","19,40","15,99","19,40","16,12"
2/1/2016,15 - 16,"19,40","16,57","19,40","15,99","19,40","16,57","19,40","16,57","19,40","16,57","19,40","16,57","19,40","16,57","19,40","16,57","19,40","16,57","59,00","39,89","19,40","15,99","19,40","16,57"
2/1/2016,16 - 17,"19,83","17,29","19,83","16,22","19,83","17,29","19,83","17,29","19,83","17,29","19,83","17,29","19,83","17,29","19,83","17,29","19,83","17,29","39,89","39,89","16,22","16,22","19,83","17,29"
2/1/2016,17 - 18,"20,00","17,52","20,00","16,51","20,00","17,52","20,00","17,52","20,00","17,52","20,00","17,52","20,00","17,52","20,00","17,52","20,00","17,52","39,87","39,87","20,00","16,51","20,00","17,52"
2/1/2016,18 - 19,"20,00","17,37","20,00","16,37","20,00","17,37","20,00","17,37","20,00","17,37","20,00","17,37","20,00","17,37","20,00","17,37","20,00","17,37","39,89","39,89","19,50","16,37","20,00","17,37"
2/1/2016,19 - 20,"19,83","16,95","19,83","16,08","19,83","16,95","19,83","16,95","19,83","16,95","19,83","16,95","19,83","16,95","19,83","16,95","19,83","16,95","50,00","34,78","19,31","16,08","19,83","16,95"
2/1/2016,20 - 21,"19,83","16,56","19,83","16,15","19,83","16,56","19,83","16,56","19,83","16,56","19,83","16,56","19,83","16,56","19,83","16,56","19,83","16,56","30,08","30,08","19,31","16,15","19,83","16,56"
2/1/2016,21 - 22,"19,83","15,83","19,83","15,83","19,83","15,83","19,83","15,83","19,83","15,83","19,83","15,83","19,83","15,83","19,83","15,83","19,83","15,83","99,00","31,36","16,80","15,83","19,83","15,83"
2/1/2016,22 - 23,"19,83","15,82","19,83","15,82","19,83","15,82","19,83","15,82","19,83","15,82","19,83","15,82","19,83","15,82","19,83","15,82","19,83","15,82","55,00","27,13","15,82","-10,05","19,83","15,82"
2/1/2016,23 - 00,"19,83","15,31","19,83","15,31","19,83","15,31","19,83","15,31","19,83","15,31","19,83","15,31","19,83","15,31","19,83","15,31","19,83","15,31","42,00","23,61","19,83","15,31","19,83","15,31"
3/1/2016,00 - 01,"19,31","15,99","19,31","15,99","19,31","15,99","19,31","15,99","19,31","15,99","19,31","15,99","19,31","15,99","19,31","15,99","19,31","15,99","30,00","17,95","6,99","-6,70","19,31","15,99"
3/1/2016,01 - 02,"18,79","15,87","18,79","15,87","18,79","15,87","18,79","15,87","18,79","15,87","18,79","15,87","18,79","15,87","18,79","15,87","18,79","15,87","18,79","15,87","-0,01","-19,44","18,79","15,87"
3/1/2016,02 - 03,"18,79","15,76","18,79","15,76","18,79","15,76","18,79","15,76","18,79","15,76","18,79","15,76","18,79","15,76","18,79","15,76","18,79","15,76","18,79","15,76","0,23","-21,45","18,79","15,76"
3/1/2016,03 - 04,"18,79","15,59","18,79","15,59","18,79","15,59","18,79","15,59","18,79","15,59","18,79","15,59","18,79","15,59","18,79","15,59","18,79","15,59","18,79","15,59","4,51","-13,40","18,79","15,59"
3/1/2016,04 - 05,"18,79","15,69","18,79","14,43","18,79","15,69","18,79","15,69","18,79","15,69","18,79","15,69","18,79","15,69","18,79","15,69","18,79","15,69","18,79","15,69","4,12","-20,11","18,79","15,69"
3/1/2016,05 - 06,"18,79","15,83","18,79","14,96","18,79","15,83","18,79","15,83","18,79","15,83","18,79","15,83","18,79","15,83","18,79","15,83","18,79","15,83","18,79","15,83","6,76","-13,40","18,79","15,83"
3/1/2016,06 - 07,"18,79","14,98","18,79","14,98","18,79","15,89","18,79","15,89","18,79","14,98","18,79","14,98","18,79","14,98","18,79","14,98","18,79","14,98","18,79","14,98","0,75","-21,45","18,79","14,98"
3/1/2016,07 - 08,"18,79","15,53","18,79","15,53","18,79","15,84","18,79","15,84","18,79","15,53","18,79","15,53","18,79","15,53","18,79","15,53","18,79","15,53","18,79","15,53","4,27","-20,11","18,79","15,53"
3/1/2016,08 - 09,"18,79","15,79","18,79","15,79","18,79","16,06","18,79","16,06","18,79","15,79","18,79","15,79","18,79","15,79","18,79","15,79","18,79","15,79","18,79","15,79","9,11","-23,46","18,79","15,79"
3/1/2016,09 - 10,"18,79","16,36","18,79","16,17","18,79","16,36","18,79","16,36","18,79","16,36","18,79","16,36","18,79","16,36","18,79","16,36","18,79","16,36","18,79","16,36","18,79","-13,40","18,79","16,36"
3/1/2016,10 - 11,"20,50","17,15","16,44","13,05","20,50","17,15","20,50","17,15","20,50","17,15","20,50","17,15","20,50","17,15","20,50","17,15","20,50","17,15","36,00","17,15","16,70","13,05","20,50","17,15"
3/1/2016,11 - 12,"20,80","17,94","16,49","13,05","20,80","17,94","20,80","17,94","20,80","17,94","20,80","17,94","20,80","17,94","20,80","17,94","20,80","17,94","50,00","17,94","16,49","13,05","20,80","17,94"
3/1/2016,12 - 13,"17,94","17,94","16,37","10,96","17,94","17,94","17,94","17,94","17,94","17,94","17,94","17,94","17,94","17,94","17,94","17,94","17,94","17,94","36,00","17,94","16,37","10,96","17,94","17,94"
3/1/2016,13 - 14,"19,40","17,66","16,35","10,96","19,40","17,66","19,40","17,66","19,40","17,66","19,40","17,66","19,40","17,66","19,40","17,66","19,40","17,66","36,00","17,66","16,35","10,96","19,40","17,66"
3/1/2016,14 - 15,"20,30","17,66","16,35","10,96","20,30","17,66","20,30","17,66","20,30","17,66","20,30","17,66","20,30","17,66","20,30","17,66","20,30","17,66","36,00","23,40","16,35","10,96","20,30","17,66"
3/1/2016,15 - 16,"20,90","17,60","16,30","10,96","20,90","17,60","20,90","17,60","20,90","17,60","20,90","17,60","20,90","17,60","20,90","17,60","20,90","17,60","60,00","27,20","16,30","10,96","20,90","17,60"
3/1/2016,16 - 17,"20,88","18,61","16,45","13,05","20,88","18,61","20,88","18,61","20,88","18,61","20,88","18,61","20,88","18,61","20,88","18,61","20,88","18,61","60,00","28,72","16,45","13,05","20,88","18,61"
3/1/2016,17 - 18,"21,40","19,11","17,22","13,05","21,40","19,11","21,40","19,11","21,40","19,11","21,40","19,11","21,40","19,11","21,40","19,11","21,40","19,11","40,00","27,12","17,22","13,05","21,40","19,11"
3/1/2016,18 - 19,"22,00","18,86","16,83","16,83","22,00","18,86","22,00","18,86","22,00","18,86","22,00","18,86","22,00","18,86","22,00","18,86","22,00","18,86","25,57","25,57","16,83","16,83","22,00","18,86"
3/1/2016,19 - 20,"21,40","18,51","16,48","16,48","21,40","18,51","21,40","18,51","21,40","18,51","21,40","18,51","21,40","18,51","21,40","18,51","21,40","18,51","24,99","24,99","16,48","16,48","21,40","18,51"
3/1/2016,20 - 21,"21,00","18,08","18,32","16,43","21,00","18,08","21,00","18,08","21,00","18,08","21,00","18,08","21,00","18,08","21,00","18,08","21,00","18,08","21,00","19,58","18,32","-29,49","21,00","18,08"
3/1/2016,21 - 22,"20,35","17,72","18,70","10,96","20,35","17,72","20,35","17,72","20,35","17,72","20,35","17,72","20,35","17,72","20,35","17,72","20,35","17,72","22,02","22,02","18,70","10,96","20,35","17,72"
3/1/2016,22 - 23,"20,35","16,90","18,00","10,96","20,35","16,90","20,35","16,90","20,35","16,90","20,35","16,90","20,35","16,90","20,35","16,90","20,35","16,90","50,00","16,90","18,00","10,96","20,35","16,90"
3/1/2016,23 - 00,"19,00","15,74","19,00","15,74","19,00","15,88","19,00","15,88","19,00","15,74","19,00","15,74","19,00","15,74","19,00","15,74","19,00","15,74","19,00","15,74","19,00","-21,45","19,00","15,74"
4/1/2016,00 - 01,"17,74","15,96","17,74","15,86","17,74","15,96","17,74","15,96","17,74","15,96","17,74","15,96","17,74","15,96","17,74","15,96","17,74","15,96","17,74","15,96","13,78","13,78","17,74","15,96"
4/1/2016,01 - 02,"15,81","15,81","15,59","15,59","15,81","15,81","15,81","15,81","15,81","15,81","15,81","15,81","15,81","15,81","15,81","15,81","15,81","15,81","15,81","15,81","12,77","-6,70","15,81","15,81"
4/1/2016,02 - 03,"15,56","15,56","15,43","15,43","15,56","15,56","15,56","15,56","15,56","15,56","15,56","15,56","15,56","15,56","15,56","15,56","15,56","15,56","15,56","15,56","10,56","-6,70","15,56","15,56"
4/1/2016,03 - 04,"15,57","15,57","15,56","15,56","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","3,87","-13,40","15,57","15,57"
4/1/2016,04 - 05,"15,92","15,92","15,86","15,86","18,27","15,92","15,92","15,92","15,92","15,92","15,92","15,92","15,92","15,92","15,92","15,92","15,92","15,92","15,92","15,92","3,20","-13,40","15,92","15,92"
4/1/2016,05 - 06,"19,00","16,76","19,00","15,90","19,00","16,76","19,00","16,76","19,00","16,76","19,00","16,76","19,00","16,76","19,00","16,76","19,00","16,76","27,16","27,16","8,67","-12,73","19,00","16,76"
4/1/2016,06 - 07,"18,01","18,01","16,40","16,40","18,01","18,01","18,01","18,01","18,01","18,01","18,01","18,01","18,01","18,01","18,01","18,01","18,01","18,01","34,03","34,03","18,01","18,01","18,01","18,01"
4/1/2016,07 - 08,"19,54","19,54","19,34","19,34","19,54","19,54","19,54","19,54","19,54","19,54","19,54","19,54","19,54","19,54","19,54","19,54","19,54","19,54","34,47","34,47","19,54","19,54","19,54","19,54"
4/1/2016,08 - 09,"20,49","20,49","20,49","20,49","20,49","20,49","20,49","20,49","20,49","20,49","20,49","20,49","20,49","20,49","20,49","20,49","20,49","20,49","34,46","34,46","20,49","20,49","20,49","20,49"
4/1/2016,09 - 10,"20,49","20,49","20,49","20,49","20,49","20,49","20,49","20,49","20,49","20,49","20,49","20,49","20,49","20,49","20,49","20,49","20,49","20,49","34,05","34,05","20,49","20,49","20,49","20,49"
4/1/2016,10 - 11,"20,47","20,47","20,47","20,47","20,47","20,47","20,47","20,47","20,47","20,47","20,47","20,47","20,47","20,47","20,47","20,47","20,47","20,47","34,08","34,08","20,47","20,47","20,47","20,47"
4/1/2016,11 - 12,"20,14","20,14","20,14","20,14","20,14","20,14","20,14","20,14","20,14","20,14","20,14","20,14","20,14","20,14","20,14","20,14","20,14","20,14","34,08","34,08","20,14","20,14","20,14","20,14"
4/1/2016,12 - 13,"19,85","19,85","19,85","19,85","19,85","19,85","19,85","19,85","19,85","19,85","19,85","19,85","19,85","19,85","19,85","19,85","19,85","19,85","34,08","34,08","19,85","19,85","19,85","19,85"
4/1/2016,13 - 14,"19,83","19,83","19,83","19,83","19,83","19,83","19,83","19,83","19,83","19,83","19,83","19,83","19,83","19,83","19,83","19,83","19,83","19,83","34,41","34,41","19,83","19,83","19,83","19,83"
4/1/2016,14 - 15,"19,88","19,88","19,88","19,88","19,88","19,88","19,88","19,88","19,88","19,88","19,88","19,88","19,88","19,88","19,88","19,88","19,88","19,88","34,44","34,44","19,88","19,88","19,88","19,88"
4/1/2016,15 - 16,"20,09","20,09","20,09","20,09","20,09","20,09","20,09","20,09","20,09","20,09","20,09","20,09","20,09","20,09","20,09","20,09","20,09","20,09","34,49","34,49","20,09","20,09","20,09","20,09"
4/1/2016,16 - 17,"23,00","22,06","21,40","20,79","21,40","20,88","21,40","20,88","21,40","20,79","21,40","20,88","21,40","20,88","23,00","22,06","23,00","22,06","34,46","34,46","21,40","20,79","22,06","22,06"
4/1/2016,17 - 18,"28,48","28,48","21,80","21,07","25,00","20,76","25,00","20,76","21,80","21,07","25,00","20,76","25,00","20,76","28,48","28,48","28,48","28,48","34,44","34,44","21,80","21,07","28,48","28,48"
4/1/2016,18 - 19,"20,54","20,54","20,54","20,54","20,90","20,54","20,90","20,54","20,54","20,54","20,90","20,54","20,90","20,54","20,90","20,54","20,90","20,54","34,45","34,45","20,90","20,54","20,90","20,54"
4/1/2016,19 - 20,"19,77","19,77","19,77","19,77","20,90","19,77","20,90","19,77","19,77","19,77","20,90","19,77","20,90","19,77","20,90","19,77","20,90","19,77","34,43","34,43","19,77","-12,06","20,90","19,77"
4/1/2016,20 - 21,"19,05","19,05","19,05","19,05","22,10","19,05","22,10","19,05","19,05","19,05","22,10","19,05","22,10","19,05","22,10","19,05","22,10","19,05","33,54","33,54","19,05","-10,05","22,10","19,05"
4/1/2016,21 - 22,"18,50","18,50","18,50","18,50","23,93","18,50","23,93","18,50","18,50","18,50","23,93","18,50","23,93","18,50","23,93","18,50","23,93","18,50","32,96","32,96","18,50","0,00","23,93","18,50"
4/1/2016,22 - 23,"17,71","17,71","17,71","17,71","20,00","17,71","20,00","17,71","17,71","17,71","20,00","17,71","20,00","17,71","20,00","17,71","20,00","17,71","23,96","23,96","17,71","17,71","20,00","17,71"
4/1/2016,23 - 00,"17,03","17,03","17,03","17,03","20,10","17,03","20,10","17,03","17,03","17,03","20,10","17,03","20,10","17,03","20,10","17,03","20,10","17,03","19,10","19,10","17,03","17,03","20,10","17,03"
5/1/2016,00 - 01,"19,63","17,68","19,63","17,68","19,63","17,68","19,63","17,68","19,63","17,68","19,63","17,68","19,63","17,68","19,63","17,68","19,63","17,68","19,63","17,68","19,63","17,68","19,63","17,68"
5/1/2016,01 - 02,"19,00","17,33","19,00","17,33","19,00","17,33","19,00","17,33","19,00","17,33","19,00","17,33","19,00","17,33","19,00","17,33","19,00","17,33","19,00","17,33","19,00","17,33","19,00","17,33"
5/1/2016,02 - 03,"19,08","17,24","19,08","17,24","19,08","17,24","19,08","17,24","19,08","17,24","19,08","17,24","19,08","17,24","19,08","17,24","19,08","17,24","19,08","17,24","19,08","17,24","19,08","17,24"
5/1/2016,03 - 04,"19,08","17,32","19,08","17,32","19,08","17,32","19,08","17,32","19,08","17,32","19,08","17,32","19,08","17,32","19,08","17,32","19,08","17,32","19,08","17,32","19,08","17,32","19,08","17,32"
5/1/2016,04 - 05,"19,08","17,66","19,08","17,66","19,08","17,66","19,08","17,66","19,08","17,66","19,08","17,66","19,08","17,66","19,08","17,66","19,08","17,66","19,08","17,66","19,08","17,66","19,08","17,66"
5/1/2016,05 - 06,"19,08","17,92","19,08","17,92","19,08","17,92","19,08","17,92","19,08","17,92","19,08","17,92","19,08","17,92","19,08","17,92","19,08","17,92","32,99","32,99","19,08","17,92","19,08","17,92"
5/1/2016,06 - 07,"20,76","18,80","20,76","18,80","20,76","18,80","20,76","18,80","20,76","18,80","20,76","18,80","20,76","18,80","20,76","18,80","20,76","18,80","34,08","34,08","20,76","18,80","20,76","18,80"
5/1/2016,07 - 08,"24,00","20,51","24,00","20,51","24,00","20,51","24,00","20,51","24,00","20,51","24,00","20,51","24,00","20,51","24,00","20,51","24,00","20,51","34,44","34,44","22,32","20,51","24,00","20,51"
5/1/2016,08 - 09,"23,99","22,58","23,99","22,58","23,99","22,58","23,99","19,76","23,99","22,58","23,99","22,58","23,99","22,58","23,99","22,58","23,99","22,58","34,41","34,41","22,58","22,58","23,99","22,58"
5/1/2016,09 - 10,"23,99","23,13","23,99","21,73","23,99","23,13","23,99","19,95","23,99","21,73","23,99","23,13","23,99","23,13","23,99","23,13","23,99","23,13","34,07","34,07","21,73","21,73","23,99","23,13"
5/1/2016,10 - 11,"24,54","23,21","24,54","21,78","24,54","23,21","24,54","20,02","24,54","21,78","24,54","23,21","24,54","23,21","24,54","23,21","24,54","23,21","34,23","34,23","21,78","21,78","24,54","23,21"
5/1/2016,11 - 12,"30,82","21,91","26,99","21,64","30,82","21,91","30,82","20,09","26,99","21,64","30,82","21,91","30,82","21,91","30,82","21,91","30,82","21,91","34,09","34,09","21,64","21,64","30,82","21,91"
5/1/2016,12 - 13,"32,72","21,29","26,99","20,91","51,30","21,29","22,30","19,96","26,99","20,91","100,00","21,29","100,00","21,29","100,00","21,29","100,00","21,29","100,00","34,07","20,91","20,91","100,00","21,29"
5/1/2016,13 - 14,"32,72","20,98","25,95","20,61","29,00","20,98","22,00","19,81","25,95","20,61","100,00","20,98","100,00","20,98","100,00","20,98","100,00","20,98","100,00","34,40","20,61","20,61","100,00","20,98"
5/1/2016,14 - 15,"35,29","21,03","24,39","20,63","35,29","21,03","22,00","19,85","24,39","20,63","35,29","21,03","35,29","21,03","35,29","21,03","35,29","21,03","35,87","35,87","20,63","20,63","35,29","21,03"
5/1/2016,15 - 16,"29,99","23,17","24,39","20,71","29,99","23,17","19,93","19,93","24,39","20,71","29,99","23,17","29,99","23,17","29,99","23,17","29,99","23,17","55,05","55,05","20,71","20,71","29,99","23,17"
5/1/2016,16 - 17,"508,00","30,98","27,51","20,96","61,00","30,98","30,98","30,98","27,51","20,96","508,00","30,98","508,00","30,98","508,00","30,98","508,00","30,98","508,00","45,93","22,83","20,96","508,00","30,98"
5/1/2016,17 - 18,"508,00","34,63","27,51","21,23","60,31","34,63","34,63","34,63","27,51","21,23","508,00","34,63","508,00","34,63","508,00","34,63","508,00","34,63","508,00","38,08","23,35","21,23","508,00","34,63"
5/1/2016,18 - 19,"170,14","24,18","27,51","20,68","170,14","24,18","170,14","24,18","27,51","20,68","170,14","24,18","170,14","24,18","170,14","24,18","170,14","24,18","170,14","55,07","22,83","20,68","170,14","24,18"
5/1/2016,19 - 20,"60,31","20,83","27,51","20,48","60,31","20,83","60,31","20,83","27,51","20,48","60,31","20,83","60,31","20,83","60,31","20,83","60,31","20,83","60,31","36,48","22,90","20,48","60,31","20,83"
5/1/2016,20 - 21,"27,51","19,89","27,51","19,89","27,51","19,89","27,51","19,89","27,51","19,89","27,51","19,89","27,51","19,89","27,51","19,89","27,51","19,89","34,50","34,50","19,89","19,89","27,51","19,89"
5/1/2016,21 - 22,"26,99","19,39","26,99","19,39","26,99","19,39","26,99","19,39","26,99","19,39","26,99","19,39","26,99","19,39","26,99","19,39","26,99","19,39","35,82","35,82","26,99","19,39","26,99","19,39"
5/1/2016,22 - 23,"26,99","18,73","26,99","18,73","26,99","18,73","26,99","18,73","26,99","18,73","26,99","18,73","26,99","18,73","26,99","18,73","26,99","18,73","50,00","33,85","26,99","18,73","26,99","18,73"
5/1/2016,23 - 00,"25,43","17,97","25,43","17,97","25,43","17,97","25,43","17,97","25,43","17,97","25,43","17,97","25,43","17,97","25,43","17,97","25,43","17,97","42,00","25,05","25,43","17,97","25,43","17,97"
6/1/2016,00 - 01,"27,54","20,02","27,54","20,02","27,54","20,02","27,54","20,02","27,54","20,02","27,54","20,02","27,54","20,02","27,54","20,02","27,54","20,02","43,00","27,97","27,54","20,02","27,54","20,02"
6/1/2016,01 - 02,"22,24","17,67","22,24","17,67","22,24","17,67","22,24","17,67","22,24","17,67","22,24","17,67","22,24","17,67","22,24","17,67","22,24","17,67","36,00","23,61","22,24","17,67","22,24","17,67"
6/1/2016,02 - 03,"22,35","19,33","22,35","19,33","22,35","19,33","22,35","19,33","22,35","19,33","22,35","19,33","22,35","19,33","22,35","19,33","22,35","19,33","27,00","21,77","22,35","19,33","22,35","19,33"
