iter	Passed	Remaining
410	3921	5620
411	3936	5618
412	3952	5617
413	3968	5617
414	3974	5602
415	3981	5589
416	3988	5576
417	3994	5561
418	4001	5547
419	4007	5533
420	4013	5519
421	4019	5505
422	4027	5493
423	4037	5485
424	4055	5486
425	4067	5481
426	4080	5476
427	4087	5462
428	4096	5451
429	4102	5438
430	4108	5424
431	4119	5416
432	4133	5412
433	4144	5405
434	4157	5399
435	4166	5389
436	4177	5382
437	4186	5371
438	4196	5362
439	4204	5350
440	4212	5339
441	4218	5325
442	4228	5316
443	4236	5305
444	4243	5292
445	4252	5282
446	4260	5271
447	4273	5265
448	4281	5254
449	4294	5248
450	4303	5238
451	4314	5230
452	4321	5218
453	4329	5206
454	4336	5194
455	4343	5182
456	4350	5169
457	4358	5157
458	4366	5146
459	4382	5145
460	4391	5134
461	4398	5121
462	4408	5113
463	4415	5101
464	4425	5092
465	4432	5079
466	4439	5066
467	4445	5053
468	4452	5040
469	4459	5028
470	4471	5022
471	4481	5012
472	4491	5004
473	4500	4994
474	4507	4982
475	4515	4970
476	4524	4960
477	4532	4949
478	4541	4939
479	4549	4928
480	4560	4921
481	4571	4912
482	4580	4903
483	4593	4897
484	4605	4889
485	4612	4878
486	4624	4871
487	4642	4870
488	4651	4860
489	4658	4848
490	4668	4839
491	4675	4827
492	4682	4815
493	4696	4810
494	4713	4808
495	4729	4805
496	4744	4801
497	4758	4796
498	4765	4784
499	4772	4772
500	4778	4759
501	4785	4747
502	4793	4736
503	4800	4723
504	4809	4714
505	4815	4701
506	4822	4689
507	4828	4676
508	4837	4666
509	4848	4658
510	4860	4651
511	4871	4643
512	4882	4634
513	4891	4624
514	4901	4616
515	4910	4606
516	4923	4599
517	4931	4588
518	4944	4582
519	4953	4572
520	4961	4561
521	4968	4549
522	4979	4541
523	4997	4539
524	5017	4539
525	5037	4539
526	5055	4537
527	5075	4536
528	5088	4530
529	5103	4525
530	5110	4513
531	5117	4501
532	5131	4496
533	5147	4491
534	5163	4487
535	5177	4482
536	5192	4476
537	5205	4470
538	5219	4464
539	5226	4452
540	5242	4447
541	5259	4444
542	5265	4431
543	5273	4420
544	5285	4412
545	5294	4402
546	5300	4389
547	5311	4381
548	5326	4375
549	5337	4367
550	5344	4354
551	5351	4343
552	5364	4336
553	5375	4327
554	5382	4315
555	5393	4306
556	5400	4295
557	5406	4282
558	5417	4274
559	5432	4268
560	5442	4258
561	5448	4246
562	5455	4234
563	5461	4221
564	5468	4210
565	5474	4198
566	5481	4185
567	5487	4173
568	5493	4161
569	5500	4149
570	5509	4139
571	5516	4127
572	5522	4115
573	5528	4103
574	5535	4091
575	5543	4080
576	5551	4069
577	5557	4057
578	5565	4046
579	5574	4036
580	5583	4026
581	5590	4014
582	5596	4003
583	5603	3991
584	5610	3980
585	5617	3968
586	5625	3958
587	5638	3950
588	5649	3942
589	5658	3932
590	5664	3920
591	5671	3908
592	5678	3897
593	5685	3886
594	5691	3874
595	5698	3862
596	5704	3850
597	5711	3839
598	5719	3829
599	5726	3817
600	5732	3805
601	5740	3795
602	5747	3784
603	5755	3773
604	5766	3765
605	5773	3753
606	5780	3742
607	5791	3734
608	5797	3722
609	5804	3710
610	5810	3699
611	5816	3687
612	5823	3676
613	5829	3664
614	5843	3658
615	5851	3647
616	5863	3639
617	5871	3629
618	5880	3619
619	5887	3608
620	5894	3597
621	5900	3585
622	5907	3574
623	5913	3563
624	5921	3552
625	5934	3545
626	5942	3534
627	5949	3523
628	5956	3513
629	5962	3501
630	5969	3491
631	5979	3481
632	5986	3470
633	5992	3459
634	5999	3448
635	6011	3440
636	6018	3429
637	6025	3418
638	6031	3407
639	6037	3396
640	6043	3384
641	6049	3373
642	6056	3362
643	6062	3351
644	6068	3340
645	6077	3330
646	6086	3320
647	6092	3309
648	6101	3299
649	6107	3288
650	6114	3278
651	6121	3267
652	6127	3256
653	6134	3245
654	6140	3234
655	6147	3223
656	6154	3213
657	6161	3202
658	6168	3191
659	6174	3181
660	6185	3172
661	6191	3161
662	6198	3150
663	6204	3139
664	6213	3129
665	6219	3119
666	6226	3108
667	6232	3097
668	6238	3086
669	6244	3075
670	6250	3064
671	6257	3054
672	6263	3043
673	6269	3032
674	6275	3021
675	6281	3010
676	6289	3000
677	6296	2990
678	6303	2979
679	6310	2969
680	6316	2958
681	6324	2948
682	6330	2938
683	6336	2927
684	6343	2917
685	6350	2906
686	6356	2896
687	6362	2885
688	6369	2874
689	6375	2864
690	6381	2853
691	6389	2843
692	6397	2833
693	6404	2824
694	6414	2815
695	6422	2805
696	6428	2794
697	6435	2784
698	6441	2773
699	6447	2763
700	6453	2752
701	6459	2742
702	6465	2731
703	6472	2721
704	6479	2711
705	6485	2700
706	6492	2690
707	6499	2680
708	6509	2671
709	6515	2661
710	6523	2651
711	6530	2641
712	6538	2631
713	6545	2621
714	6552	2611
715	6562	2602
716	6568	2592
717	6575	2582
718	6581	2572
719	6588	2562
720	6594	2551
721	6605	2543
722	6615	2534
723	6621	2524
724	6628	2514
725	6637	2505
726	6643	2494
727	6650	2484
728	6656	2474
729	6662	2464
730	6669	2454
731	6675	2443
732	6681	2433
733	6688	2423
734	6694	2413
735	6701	2403
736	6707	2393
737	6715	2384
738	6722	2374
739	6729	2364
740	6735	2354
741	6742	2344
742	6749	2334
743	6755	2324
744	6765	2315
745	6773	2306
746	6781	2296
747	6788	2287
748	6795	2277
749	6801	2267
750	6808	2257
751	6814	2247
752	6824	2238
753	6831	2228
754	6837	2218
755	6844	2208
756	6851	2199
757	6858	2189
758	6869	2181
759	6876	2171
760	6885	2162
761	6891	2152
762	6897	2142
763	6903	2132
764	6910	2122
765	6916	2112
766	6925	2103
767	6931	2094
768	6938	2084
769	6945	2074
770	6951	2064
771	6958	2055
772	6965	2045
773	6976	2037
774	6987	2028
775	6994	2018
776	7000	2009
777	7008	1999
778	7014	1989
779	7020	1980
780	7026	1970
781	7041	1962
782	7059	1956
783	7078	1950
784	7094	1943
785	7113	1936
786	7136	1931
787	7148	1923
788	7155	1913
789	7161	1903
790	7168	1893
791	7174	1884
792	7180	1874
793	7187	1864
794	7193	1855
795	7200	1845
796	7207	1835
797	7213	1826
798	7220	1816
799	7227	1806
800	7234	1797
801	7242	1788
802	7250	1778
803	7258	1769
804	7265	1759
805	7271	1750
806	7277	1740
807	7284	1730
808	7290	1721
809	7296	1711
810	7303	1702
811	7310	1692
812	7317	1683
813	7324	1673
814	7331	1664
815	7337	1654
816	7344	1645
817	7353	1636
818	7361	1626
819	7367	1617
820	7373	1607
821	7380	1598
822	7387	1588
823	7393	1579
824	7400	1569
825	7406	1560
826	7413	1550
827	7425	1542
828	7432	1533
829	7438	1523
830	7446	1514
831	7453	1505
832	7462	1496
833	7469	1486
834	7476	1477
835	7482	1467
836	7488	1458
837	7496	1449
838	7502	1439
839	7511	1430
840	7518	1421
841	7525	1412
842	7531	1402
843	7537	1393
844	7544	1383
845	7551	1374
846	7557	1365
847	7564	1355
848	7573	1347
849	7580	1337
850	7586	1328
851	7594	1319
852	7600	1309
853	7606	1300
854	7613	1291
855	7620	1281
856	7627	1272
857	7634	1263
858	7641	1254
859	7647	1245
860	7656	1235
861	7662	1226
862	7671	1217
863	7681	1209
864	7699	1201
865	7717	1194
866	7735	1186
867	7751	1178
868	7765	1170
869	7782	1162
870	7798	1154
871	7812	1146
872	7824	1138
873	7835	1129
874	7841	1120
875	7848	1110
876	7855	1101
877	7866	1093
878	7876	1084
879	7885	1075
880	7900	1067
881	7907	1057
882	7917	1049
883	7925	1039
884	7935	1031
885	7941	1021
886	7955	1013
887	7962	1004
888	7971	995
889	7979	986
890	7988	977
891	8002	968
892	8010	959
893	8020	950
894	8027	941
895	8035	932
896	8044	923
897	8059	915
898	8074	907
899	8084	898
900	8091	889
901	8099	880
902	8110	871
903	8123	862
904	8137	854
905	8147	845
906	8164	837
907	8177	828
908	8191	820
909	8204	811
910	8220	803
911	8238	794
912	8254	786
913	8272	778
914	8286	769
915	8304	761
916	8322	753
917	8333	744
918	8351	736
919	8369	727
920	8385	719
921	8393	710
922	8400	700
923	8411	691
924	8424	683
925	8437	674
926	8445	665
927	8453	655
928	8469	647
929	8478	638
930	8487	629
931	8498	620
932	8509	611
933	8515	601
934	8528	592
935	8540	583
936	8553	575
937	8569	566
938	8586	557
939	8599	548
940	8607	539
941	8619	530
942	8628	521
943	8643	512
944	8653	503
945	8661	494
946	8670	485
947	8678	476
948	8684	466
949	8696	457
950	8703	448
951	8714	439
