iter	RMSE
652	0.1235510152
653	0.1235434416
654	0.1235348945
655	0.123523692
656	0.1235116905
657	0.1234962662
658	0.1234826612
659	0.1234752039
660	0.1234651194
661	0.1234578898
662	0.1234463402
663	0.1234372417
664	0.1234302163
665	0.1234243196
666	0.1234096532
667	0.1233999464
668	0.1233913599
669	0.1233809026
670	0.1233737765
671	0.123368541
672	0.1233580282
673	0.1233509907
674	0.123341503
675	0.1233355445
676	0.1233257146
677	0.1233191816
678	0.1233083364
679	0.1233007153
680	0.1232891925
681	0.1232768289
682	0.1232700146
683	0.1232600455
684	0.1232527719
685	0.1232440076
686	0.1232380897
687	0.1232262292
688	0.1232124761
689	0.1232057588
690	0.1231946443
691	0.1231831916
692	0.1231758332
693	0.1231696875
694	0.1231566182
695	0.1231450911
696	0.1231361666
697	0.123125648
698	0.123116166
699	0.1231080861
700	0.1231001892
701	0.1230909203
702	0.1230795059
703	0.1230716855
704	0.1230637993
705	0.1230546122
706	0.1230454239
707	0.1230311032
708	0.1230256411
709	0.1230121075
710	0.1230048578
711	0.1229950665
712	0.1229831414
713	0.1229756892
714	0.1229713677
715	0.1229661552
716	0.1229563682
717	0.1229507968
718	0.1229396057
719	0.1229279697
720	0.1229198909
721	0.1229114391
722	0.1228983175
723	0.1228906692
724	0.1228806056
725	0.1228699101
726	0.1228631691
727	0.1228520861
728	0.1228362446
729	0.1228264022
730	0.1228174611
731	0.1228113422
732	0.1228016222
733	0.1227890816
734	0.1227769976
735	0.1227622317
736	0.1227558268
737	0.1227464035
738	0.1227348021
739	0.122725209
740	0.1227097087
741	0.1226976743
742	0.1226909737
743	0.1226817827
744	0.1226733128
745	0.1226678659
746	0.1226569448
747	0.122647308
748	0.1226412086
749	0.1226352711
750	0.122630087
751	0.1226241341
752	0.1226140836
753	0.1226046081
754	0.1225947539
755	0.1225871348
756	0.1225791323
757	0.1225678524
758	0.1225603032
759	0.1225484867
760	0.122541567
761	0.1225350086
762	0.1225239834
763	0.1225141023
764	0.1225091519
765	0.1224950541
766	0.1224856548
767	0.1224728948
768	0.1224682296
769	0.1224547836
770	0.1224471956
771	0.1224389849
772	0.122432429
773	0.1224221444
774	0.1224127672
775	0.1223979124
776	0.1223888543
777	0.1223816931
778	0.1223678926
779	0.122359274
780	0.1223538126
781	0.1223450861
782	0.122340092
783	0.1223315714
784	0.1223194876
785	0.1223106857
786	0.122302241
787	0.1222891475
788	0.1222776829
789	0.1222709606
790	0.1222627881
791	0.1222535768
792	0.1222454685
793	0.1222315421
794	0.1222224258
795	0.1222153242
796	0.1222061817
797	0.1221973319
798	0.1221860149
799	0.122174349
800	0.1221653206
801	0.122157019
802	0.1221456795
803	0.1221402266
804	0.1221317446
805	0.1221246878
806	0.1221177188
807	0.1221066272
808	0.1220925153
809	0.1220858065
810	0.1220798212
811	0.1220742818
812	0.1220641895
813	0.1220554338
814	0.1220487251
815	0.1220427155
816	0.1220313578
817	0.1220248114
818	0.1220147015
819	0.1220088456
820	0.1220002193
821	0.1219905205
822	0.1219861968
823	0.1219806667
824	0.1219720292
825	0.1219641255
826	0.1219518067
827	0.1219488716
828	0.1219436529
829	0.1219308753
830	0.1219238724
831	0.1219172485
832	0.1219091255
833	0.1218971257
834	0.1218873424
835	0.1218763359
836	0.1218691746
837	0.1218594329
838	0.1218533565
839	0.1218445099
840	0.1218307191
841	0.121824084
842	0.1218137576
843	0.1218021663
844	0.1217941057
845	0.1217810576
846	0.1217746551
847	0.1217696972
848	0.1217644607
849	0.121751126
850	0.1217397716
851	0.1217327299
852	0.1217279345
853	0.1217165233
854	0.1217123988
855	0.1217056076
856	0.1216960652
857	0.1216852062
858	0.1216725039
859	0.1216659066
860	0.1216606523
861	0.1216528006
862	0.1216449435
863	0.1216355845
864	0.1216269389
865	0.121615242
866	0.1216073207
867	0.1215996963
868	0.121591238
869	0.1215801125
870	0.1215720819
871	0.1215633062
872	0.1215558416
873	0.1215449067
874	0.1215407864
875	0.1215356428
876	0.1215312728
877	0.1215185679
878	0.1215120315
879	0.1215034054
880	0.1214982485
881	0.1214893438
882	0.1214834409
883	0.1214771743
884	0.1214658148
885	0.1214610468
886	0.1214552316
887	0.1214466328
888	0.1214376904
889	0.1214288775
890	0.1214207323
891	0.1214090881
892	0.1214004105
893	0.1213957288
894	0.1213852917
895	0.1213770467
896	0.1213696654
897	0.1213638623
898	0.1213587716
899	0.1213514864
900	0.1213451828
901	0.1213396226
902	0.1213298212
903	0.1213241229
904	0.1213195225
905	0.1213116137
906	0.1213083739
907	0.1213030615
908	0.1212984595
909	0.1212838237
910	0.1212767723
911	0.1212647091
912	0.1212486534
913	0.1212389702
914	0.1212221176
915	0.1212157291
916	0.1212111504
917	0.1212006702
918	0.1211960813
919	0.1211884069
920	0.1211803122
921	0.1211692674
922	0.1211581109
923	0.1211521837
924	0.1211440197
925	0.1211334887
926	0.1211258277
927	0.1211190547
928	0.121112794
929	0.121104124
930	0.1210880535
931	0.1210837093
932	0.1210745702
933	0.121067542
934	0.1210615185
935	0.121056899
936	0.12105017
937	0.1210385191
938	0.1210241765
939	0.1210182752
940	0.1210114791
941	0.1210004502
942	0.1209929412
943	0.1209823362
944	0.1209735673
945	0.1209675509
946	0.1209604712
947	0.1209533782
948	0.1209445933
949	0.1209357628
950	0.1209261212
951	0.1209126121
952	0.1209073643
953	0.1208974995
954	0.1208884251
955	0.1208751102
956	0.1208704697
957	0.1208576344
958	0.1208492199
959	0.120841848
960	0.1208349831
961	0.1208272078
962	0.1208194045
963	0.1208113163
964	0.1208013315
965	0.1207895683
966	0.1207801907
967	0.1207661119
968	0.1207578842
969	0.1207422376
970	0.1207357529
971	0.120720532
972	0.1207115271
973	0.1207041289
974	0.1206921125
975	0.1206854887
976	0.1206740459
977	0.1206674728
978	0.1206594593
979	0.1206552667
980	0.1206402475
981	0.1206297489
982	0.120614814
983	0.1206046798
984	0.1205945548
985	0.120588171
986	0.1205794356
987	0.1205717718
988	0.120562506
989	0.120550699
990	0.120545507
991	0.1205328497
992	0.1205251013
993	0.1205154608
994	0.1205033446
995	0.1204925895
996	0.120487644
997	0.1204816878
998	0.1204747983
999	0.1204647873
